partner,N_partner,nABCD,abs_SMD,IQR_pooled,skew_anchor,skew_partner,sd_anchor,sd_partner,rank_nABCD,rank_SMD,rank_diff
2,2952,0.03681205638124405,0.09079477406904041,23,1.060106607720975,0.8884610983759498,17.627150189001267,17.37517431273322,1,2,-1
4,2876,0.03733137107743076,0.0972248156334144,24,1.060106607720975,0.8514795127537926,17.627150189001267,17.340714392506978,2,3,-1
3,2030,0.03816864987028839,0.0887100871077737,24,1.060106607720975,0.9074855059424505,17.627150189001267,18.77533382940621,3,1,2
5,1909,0.048154904607562894,0.1233194633754363,23,1.060106607720975,1.223466808520544,17.627150189001267,17.679955374879032,4,4,0
14,3437,0.05683567825561894,0.14952155231919337,24,1.060106607720975,0.8721435729222909,17.627150189001267,17.940161997360462,5,5,0
11,2491,0.05898803898941133,0.15680926789240038,24,1.060106607720975,0.754954482231104,17.627150189001267,17.419586321761493,6,6,0
15,2576,0.06275738377584945,0.16596223263232981,24,1.060106607720975,0.8979215209046947,17.627150189001267,17.93484001606194,7,8,-1
1,2188,0.06323073663764588,0.16738184523816343,24,1.060106607720975,0.8197479733289903,17.627150189001267,17.585238047059633,8,9,-1
12,4352,0.06466933381267469,0.15788900704409456,22,1.060106607720975,0.9460144037163808,17.627150189001267,17.626374989010195,9,7,2
9,3123,0.06658992342822523,0.1873832597780252,25,1.060106607720975,0.8857364184711122,17.627150189001267,17.54305305548211,10,10,0
7,3150,0.08562677221035946,0.2265273369338548,24,1.060106607720975,1.0725362322206127,17.627150189001267,18.364349327322532,11,11,0
10,1717,0.08730649914590677,0.2362843128547982,25,1.060106607720975,0.6504729507869196,17.627150189001267,18.071615107141135,12,12,0
16,1231,0.09187271692989861,0.24731600602542447,24,1.060106607720975,0.9526790080002019,17.627150189001267,17.7327918567755,13,13,0
6,1585,0.10808232381009926,0.29216138556,25,1.060106607720975,0.9287040196162369,17.627150189001267,19.2834225375697,14,15,-1
8,2916,0.11076298913020757,0.28523596801165746,23,1.060106607720975,0.5553187688285024,17.627150189001267,17.247475291604953,15,14,1
