"variable","region_i","region_j","n_i","n_j","nABCD","abs_SMD","SMD","skew_i","skew_j","skew_diff","sd_i","sd_j","sd_ratio","kurt_i","kurt_j","kurt_diff","ratio"
"age",6,11,1585,2491,0.03405,0.08186,-0.08186,-0.1646,-0.0674,0.0972,11.3157,12.2526,1.0828,2.7363,2.3721,0.3641,0.416
"age",6,12,1585,4352,0.02566,0.04822,-0.04822,-0.1646,-0.1047,0.0599,11.3157,12.0467,1.0646,2.7363,2.4348,0.3014,0.5321
"age",6,13,1585,2297,0.02911,0.06505,-0.06505,-0.1646,-0.3438,0.1793,11.3157,11.402,1.0076,2.7363,2.7327,0.0036,0.4475
"age",6,14,1585,3437,0.02121,0.03467,-0.03467,-0.1646,-0.1166,0.0479,11.3157,11.8175,1.0443,2.7363,2.469,0.2673,0.6118
"age",6,15,1585,2576,0.02693,0.02518,-0.02518,-0.1646,-0.1226,0.042,11.3157,12.1462,1.0734,2.7363,2.3826,0.3537,1.0695
"age",6,16,1585,1231,0.04582,0.10939,-0.10939,-0.1646,-0.3728,0.2083,11.3157,10.9006,1.0381,2.7363,2.625,0.1113,0.4189
"age",7,8,3150,2916,0.01103,0.02095,-0.02095,-0.1303,-0.1731,0.0428,12.135,12.0762,1.0049,2.3871,2.4991,0.1121,0.5265
"age",7,9,3150,3123,0.02111,0.0626,-0.0626,-0.1303,-0.167,0.0367,12.135,11.8453,1.0245,2.3871,2.4946,0.1075,0.3372
"age",7,10,3150,1717,0.03061,0.09282,0.09282,-0.1303,-0.0985,0.0318,12.135,11.9631,1.0144,2.3871,2.479,0.092,0.3298
"age",7,11,3150,2491,0.04024,0.12392,-0.12392,-0.1303,-0.0674,0.0629,12.135,12.2526,1.0097,2.3871,2.3721,0.0149,0.3247
"age",7,12,3150,4352,0.03004,0.0917,-0.0917,-0.1303,-0.1047,0.0256,12.135,12.0467,1.0073,2.3871,2.4348,0.0478,0.3276
"age",7,13,3150,2297,0.04032,0.10783,-0.10783,-0.1303,-0.3438,0.2135,12.135,11.402,1.0643,2.3871,2.7327,0.3456,0.3739
"age",7,14,3150,3437,0.0258,0.07859,-0.07859,-0.1303,-0.1166,0.0136,12.135,11.8175,1.0269,2.3871,2.469,0.0819,0.3283
"age",7,15,3150,2576,0.02268,0.06874,-0.06874,-0.1303,-0.1226,0.0077,12.135,12.1462,1.0009,2.3871,2.3826,0.0045,0.3299
"age",7,16,3150,1231,0.05629,0.14867,-0.14867,-0.1303,-0.3728,0.2425,12.135,10.9006,1.1132,2.3871,2.625,0.2379,0.3786
"age",8,9,2916,3123,0.01667,0.04157,-0.04157,-0.1731,-0.167,0.0061,12.0762,11.8453,1.0195,2.4991,2.4946,0.0045,0.401
"age",8,10,2916,1717,0.03785,0.1142,0.1142,-0.1731,-0.0985,0.0745,12.0762,11.9631,1.0095,2.4991,2.479,0.0201,0.3314
"age",8,11,2916,2491,0.0348,0.10336,-0.10336,-0.1731,-0.0674,0.1057,12.0762,12.2526,1.0146,2.4991,2.3721,0.127,0.3367
"age",8,12,2916,4352,0.02382,0.07086,-0.07086,-0.1731,-0.1047,0.0684,12.0762,12.0467,1.0025,2.4991,2.4348,0.0643,0.3362
"age",8,13,2916,2297,0.03374,0.08675,-0.08675,-0.1731,-0.3438,0.1708,12.0762,11.402,1.0591,2.4991,2.7327,0.2335,0.3889
"age",8,14,2916,3437,0.01978,0.05756,-0.05756,-0.1731,-0.1166,0.0564,12.0762,11.8175,1.0219,2.4991,2.469,0.0301,0.3436
"age",8,15,2916,2576,0.01695,0.04797,-0.04797,-0.1731,-0.1226,0.0505,12.0762,12.1462,1.0058,2.4991,2.3826,0.1165,0.3533
"age",8,16,2916,1231,0.05041,0.12785,-0.12785,-0.1731,-0.3728,0.1997,12.0762,10.9006,1.1079,2.4991,2.625,0.1259,0.3943
"age",9,10,3123,1717,0.05252,0.15744,0.15744,-0.167,-0.0985,0.0685,11.8453,11.9631,1.0099,2.4946,2.479,0.0155,0.3336
"age",9,11,3123,2491,0.02251,0.06315,-0.06315,-0.167,-0.0674,0.0996,11.8453,12.2526,1.0344,2.4946,2.3721,0.1224,0.3565
"age",9,12,3123,4352,0.01303,0.02987,-0.02987,-0.167,-0.1047,0.0623,11.8453,12.0467,1.017,2.4946,2.4348,0.0597,0.4362
"age",9,13,3123,2297,0.0254,0.04504,-0.04504,-0.167,-0.3438,0.1768,11.8453,11.402,1.0389,2.4946,2.7327,0.2381,0.5639
"age",9,14,3123,3437,0.00877,0.01606,-0.01606,-0.167,-0.1166,0.0504,11.8453,11.8175,1.0024,2.4946,2.469,0.0256,0.5461
"age",9,15,3123,2576,0.01125,0.00699,-0.00699,-0.167,-0.1226,0.0444,11.8453,12.1462,1.0254,2.4946,2.3826,0.112,NA
"age",9,16,3123,1231,0.04167,0.08664,-0.08664,-0.167,-0.3728,0.2058,11.8453,10.9006,1.0867,2.4946,2.625,0.1304,0.481
"age",10,11,1717,2491,0.07048,0.21681,-0.21681,-0.0985,-0.0674,0.0312,11.9631,12.2526,1.0242,2.479,2.3721,0.1069,0.3251
"age",10,12,1717,4352,0.06116,0.18538,-0.18538,-0.0985,-0.1047,0.0061,11.9631,12.0467,1.007,2.479,2.4348,0.0442,0.3299
"age",10,13,1717,2297,0.07086,0.2058,-0.2058,-0.0985,-0.3438,0.2453,11.9631,11.402,1.0492,2.479,2.7327,0.2536,0.3443
"age",10,14,1717,3437,0.05733,0.17373,-0.17373,-0.0985,-0.1166,0.0181,11.9631,11.8175,1.0123,2.479,2.469,0.0101,0.33
"age",10,15,1717,2576,0.05364,0.16195,-0.16195,-0.0985,-0.1226,0.0241,11.9631,12.1462,1.0153,2.479,2.3826,0.0965,0.3312
"age",10,16,1717,1231,0.08523,0.24934,-0.24934,-0.0985,-0.3728,0.2743,11.9631,10.9006,1.0975,2.479,2.625,0.146,0.3418
"age",11,12,2491,4352,0.01135,0.03318,0.03318,-0.0674,-0.1047,0.0373,12.2526,12.0467,1.0171,2.3721,2.4348,0.0627,0.3421
"age",11,13,2491,2297,0.03343,0.01978,0.01978,-0.0674,-0.3438,0.2765,12.2526,11.402,1.0746,2.3721,2.7327,0.3605,1.6901
"age",11,14,2491,3437,0.01706,0.04745,0.04745,-0.0674,-0.1166,0.0493,12.2526,11.8175,1.0368,2.3721,2.469,0.0969,0.3595
"age",11,15,2491,2576,0.01833,0.0554,0.0554,-0.0674,-0.1226,0.0552,12.2526,12.1462,1.0088,2.3721,2.3826,0.0105,0.3309
"age",11,16,2491,1231,0.04049,0.02066,-0.02066,-0.0674,-0.3728,0.3054,12.2526,10.9006,1.124,2.3721,2.625,0.2529,1.9598
"age",12,13,4352,2297,0.02777,0.01418,-0.01418,-0.1047,-0.3438,0.2392,12.0467,11.402,1.0565,2.4348,2.7327,0.2978,1.9584
"age",12,14,4352,3437,0.0081,0.01401,0.01401,-0.1047,-0.1166,0.012,12.0467,11.8175,1.0194,2.4348,2.469,0.0341,0.5782
"age",12,15,4352,2576,0.00876,0.02264,0.02264,-0.1047,-0.1226,0.0179,12.0467,12.1462,1.0083,2.4348,2.3826,0.0523,0.3869
"age",12,16,4352,1231,0.03757,0.05477,-0.05477,-0.1047,-0.3728,0.2681,12.0467,10.9006,1.1051,2.4348,2.625,0.1902,0.686
"age",13,14,2297,3437,0.02448,0.02876,0.02876,-0.3438,-0.1166,0.2272,11.402,11.8175,1.0364,2.7327,2.469,0.2637,0.8512
"age",13,15,2297,2576,0.03143,0.0374,0.0374,-0.3438,-0.1226,0.2212,11.402,12.1462,1.0653,2.7327,2.3826,0.3501,0.8404
"age",13,16,2297,1231,0.0197,0.04263,-0.04263,-0.3438,-0.3728,0.029,11.402,10.9006,1.046,2.7327,2.625,0.1076,0.4621
"age",14,15,3437,2576,0.01025,0.00888,0.00888,-0.1166,-0.1226,0.006,11.8175,12.1462,1.0278,2.469,2.3826,0.0864,NA
"age",14,16,3437,1231,0.03708,0.07026,-0.07026,-0.1166,-0.3728,0.2562,11.8175,10.9006,1.0841,2.469,2.625,0.156,0.5278
"age",15,16,2576,1231,0.04525,0.07825,-0.07825,-0.1226,-0.3728,0.2502,12.1462,10.9006,1.1143,2.3826,2.625,0.2424,0.5783
"sysbp",1,2,2188,2952,0.06161,0.16179,-0.16179,0.2564,0.2589,0.0025,23.8898,23.6546,1.0099,4.3104,3.1606,1.1498,0.3808
"sysbp",1,3,2188,2030,0.02994,0.00866,-0.00866,0.2564,0.0935,0.1629,23.8898,25.1301,1.0519,4.3104,3.3498,0.9606,NA
"sysbp",1,4,2188,2876,0.01929,0.04815,-0.04815,0.2564,0.4706,0.2142,23.8898,23.5426,1.0147,4.3104,4.3933,0.0828,0.4006
"sysbp",1,5,2188,1909,0.03776,0.05771,-0.05771,0.2564,1.3238,1.0673,23.8898,24.7002,1.0339,4.3104,8.8047,4.4942,0.6543
"sysbp",1,6,2188,1585,0.02909,0.00623,-0.00623,0.2564,0.0258,0.2306,23.8898,23.9167,1.0011,4.3104,4.3238,0.0134,NA
"sysbp",1,7,2188,3150,0.02619,0.06401,0.06401,0.2564,0.3464,0.09,23.8898,23.4561,1.0185,4.3104,3.6554,0.655,0.4092
"sysbp",1,8,2188,2916,0.05824,0.14682,-0.14682,0.2564,0.1981,0.0583,23.8898,22.8745,1.0444,4.3104,3.1653,1.1452,0.3967
"sysbp",1,9,2188,3123,0.05381,0.13837,0.13837,0.2564,0.2923,0.0359,23.8898,23.3336,1.0238,4.3104,4.2428,0.0677,0.3889
"sysbp",1,10,2188,1717,0.01077,0.02136,0.02136,0.2564,0.0431,0.2133,23.8898,23.6987,1.0081,4.3104,3.7424,0.568,0.5042
"sysbp",1,11,2188,2491,0.04682,0.12502,0.12502,0.2564,0.2513,0.0051,23.8898,23.7355,1.0065,4.3104,3.5749,0.7356,0.3745
"sysbp",1,12,2188,4352,0.04549,0.12263,0.12263,0.2564,0.2772,0.0208,23.8898,23.5404,1.0148,4.3104,4.1173,0.1931,0.371
"sysbp",1,13,2188,2297,0.02791,0.05277,-0.05277,0.2564,0.3625,0.1061,23.8898,23.513,1.016,4.3104,4.5177,0.2073,0.5289
"sysbp",1,14,2188,3437,0.01992,0.01613,0.01613,0.2564,0.4918,0.2354,23.8898,25.1398,1.0523,4.3104,4.3329,0.0225,1.235
"sysbp",1,15,2188,2576,0.02071,0.04734,0.04734,0.2564,0.3834,0.127,23.8898,23.7101,1.0076,4.3104,4.0603,0.2501,0.4375
"sysbp",1,16,2188,1231,0.12214,0.32638,-0.32638,0.2564,0.0415,0.2149,23.8898,21.7087,1.1005,4.3104,2.7778,1.5326,0.3742
"sysbp",2,3,2952,2030,0.05364,0.14964,0.14964,0.2589,0.0935,0.1654,23.6546,25.1301,1.0624,3.1606,3.3498,0.1892,0.3585
"sysbp",2,4,2952,2876,0.04513,0.11452,0.11452,0.2589,0.4706,0.2117,23.6546,23.5426,1.0048,3.1606,4.3933,1.2327,0.3941
"sysbp",2,5,2952,1909,0.05647,0.10147,0.10147,0.2589,1.3238,1.0649,23.6546,24.7002,1.0442,3.1606,8.8047,5.6441,0.5565
"sysbp",2,6,2952,1585,0.05391,0.15558,0.15558,0.2589,0.0258,0.2331,23.6546,23.9167,1.0111,3.1606,4.3238,1.1632,0.3465
"sysbp",2,7,2952,3150,0.08493,0.22741,0.22741,0.2589,0.3464,0.0875,23.6546,23.4561,1.0085,3.1606,3.6554,0.4948,0.3735
"sysbp",2,8,2952,2916,0.01488,0.01806,0.01806,0.2589,0.1981,0.0608,23.6546,22.8745,1.0341,3.1606,3.1653,0.0047,0.8239
"sysbp",2,9,2952,3123,0.11242,0.30242,0.30242,0.2589,0.2923,0.0334,23.6546,23.3336,1.0138,3.1606,4.2428,1.0822,0.3717
"sysbp",2,10,2952,1717,0.06646,0.18385,0.18385,0.2589,0.0431,0.2158,23.6546,23.6987,1.0019,3.1606,3.7424,0.5818,0.3615
"sysbp",2,11,2952,2491,0.10353,0.28786,0.28786,0.2589,0.2513,0.0076,23.6546,23.7355,1.0034,3.1606,3.5749,0.4143,0.3597
"sysbp",2,12,2952,4352,0.10289,0.28594,0.28594,0.2589,0.2772,0.0183,23.6546,23.5404,1.0048,3.1606,4.1173,0.9567,0.3598
"sysbp",2,13,2952,2297,0.04209,0.1099,0.1099,0.2589,0.3625,0.1036,23.6546,23.513,1.006,3.1606,4.5177,1.3571,0.383
"sysbp",2,14,2952,3437,0.06914,0.17335,0.17335,0.2589,0.4918,0.2329,23.6546,25.1398,1.0628,3.1606,4.3329,1.1723,0.3988
"sysbp",2,15,2952,2576,0.08159,0.20987,0.20987,0.2589,0.3834,0.1245,23.6546,23.7101,1.0023,3.1606,4.0603,0.8997,0.3888
"sysbp",2,16,2952,1231,0.07132,0.16041,-0.16041,0.2589,0.0415,0.2174,23.6546,21.7087,1.0896,3.1606,2.7778,0.3828,0.4446
"sysbp",3,4,2030,2876,0.02915,0.03835,-0.03835,0.0935,0.4706,0.3772,25.1301,23.5426,1.0674,3.3498,4.3933,1.0435,0.7601
"sysbp",3,5,2030,1909,0.04171,0.04769,-0.04769,0.0935,1.3238,1.2303,25.1301,24.7002,1.0174,3.3498,8.8047,5.4549,0.8746
"sysbp",3,6,2030,1585,0.02131,0.00257,0.00257,0.0935,0.0258,0.0677,25.1301,23.9167,1.0507,3.3498,4.3238,0.9741,NA
"sysbp",3,7,2030,3150,0.04369,0.0715,0.0715,0.0935,0.3464,0.2529,25.1301,23.4561,1.0714,3.3498,3.6554,0.3056,0.611
"sysbp",3,8,2030,2916,0.0508,0.13477,-0.13477,0.0935,0.1981,0.1046,25.1301,22.8745,1.0986,3.3498,3.1653,0.1845,0.3769
"sysbp",3,9,2030,3123,0.06517,0.14435,0.14435,0.0935,0.2923,0.1988,25.1301,23.3336,1.077,3.3498,4.2428,0.893,0.4515
"sysbp",3,10,2030,1717,0.03025,0.02943,0.02943,0.0935,0.0431,0.0504,25.1301,23.6987,1.0604,3.3498,3.7424,0.3926,1.0279
"sysbp",3,11,2030,2491,0.05909,0.13083,0.13083,0.0935,0.2513,0.1579,25.1301,23.7355,1.0588,3.3498,3.5749,0.2251,0.4517
"sysbp",3,12,2030,4352,0.06129,0.12941,0.12941,0.0935,0.2772,0.1838,25.1301,23.5404,1.0675,3.3498,4.1173,0.7675,0.4736
"sysbp",3,13,2030,2297,0.03094,0.04276,-0.04276,0.0935,0.3625,0.2691,25.1301,23.513,1.0688,3.3498,4.5177,1.168,0.7236
"sysbp",3,14,2030,3437,0.03152,0.02426,0.02426,0.0935,0.4918,0.3983,25.1301,25.1398,1.0004,3.3498,4.3329,0.9831,1.2993
"sysbp",3,15,2030,2576,0.03839,0.05498,0.05498,0.0935,0.3834,0.2899,25.1301,23.7101,1.0599,3.3498,4.0603,0.7105,0.6983
"sysbp",3,16,2030,1231,0.12237,0.30702,-0.30702,0.0935,0.0415,0.0519,25.1301,21.7087,1.1576,3.3498,2.7778,0.572,0.3986
"sysbp",4,5,2876,1909,0.02681,0.01083,-0.01083,0.4706,1.3238,0.8531,23.5426,24.7002,1.0492,4.3933,8.8047,4.4114,2.4755
"sysbp",4,6,2876,1585,0.02612,0.04189,0.04189,0.4706,0.0258,0.4448,23.5426,23.9167,1.0159,4.3933,4.3238,0.0694,0.6235
"sysbp",4,7,2876,3150,0.043,0.11293,0.11293,0.4706,0.3464,0.1243,23.5426,23.4561,1.0037,4.3933,3.6554,0.7379,0.3808
"sysbp",4,8,2876,2916,0.04194,0.09834,-0.09834,0.4706,0.1981,0.2725,23.5426,22.8745,1.0292,4.3933,3.1653,1.228,0.4265
"sysbp",4,9,2876,3123,0.0699,0.18782,0.18782,0.4706,0.2923,0.1783,23.5426,23.3336,1.009,4.3933,4.2428,0.1505,0.3722
"sysbp",4,10,2876,1717,0.02648,0.06988,0.06988,0.4706,0.0431,0.4276,23.5426,23.6987,1.0066,4.3933,3.7424,0.6509,0.3789
"sysbp",4,11,2876,2491,0.06642,0.17422,0.17422,0.4706,0.2513,0.2193,23.5426,23.7355,1.0082,4.3933,3.5749,0.8184,0.3812
"sysbp",4,12,2876,4352,0.06318,0.17169,0.17169,0.4706,0.2772,0.1934,23.5426,23.5404,1.0001,4.3933,4.1173,0.2759,0.368
"sysbp",4,13,2876,2297,0.01831,0.00466,-0.00466,0.4706,0.3625,0.1081,23.5426,23.513,1.0013,4.3933,4.5177,0.1245,NA
"sysbp",4,14,2876,3437,0.03114,0.06299,0.06299,0.4706,0.4918,0.0211,23.5426,25.1398,1.0678,4.3933,4.3329,0.0603,0.4944
"sysbp",4,15,2876,2576,0.03564,0.09598,0.09598,0.4706,0.3834,0.0873,23.5426,23.7101,1.0071,4.3933,4.0603,0.333,0.3713
"sysbp",4,16,2876,1231,0.10638,0.2785,-0.2785,0.4706,0.0415,0.4291,23.5426,21.7087,1.0845,4.3933,2.7778,1.6155,0.382
"sysbp",5,6,1909,1585,0.03732,0.05141,0.05141,1.3238,0.0258,1.2979,24.7002,23.9167,1.0328,8.8047,4.3238,4.4808,0.7259
"sysbp",5,7,1909,3150,0.0531,0.12174,0.12174,1.3238,0.3464,0.9774,24.7002,23.4561,1.053,8.8047,3.6554,5.1493,0.4362
"sysbp",5,8,1909,2916,0.0562,0.08564,-0.08564,1.3238,0.1981,1.1256,24.7002,22.8745,1.0798,8.8047,3.1653,5.6394,0.6562
"sysbp",5,9,1909,3123,0.07776,0.19535,0.19535,1.3238,0.2923,1.0314,24.7002,23.3336,1.0586,8.8047,4.2428,4.5619,0.3981
"sysbp",5,10,1909,1717,0.04405,0.07879,0.07879,1.3238,0.0431,1.2807,24.7002,23.6987,1.0423,8.8047,3.7424,5.0623,0.5591
"sysbp",5,11,1909,2491,0.07237,0.18119,0.18119,1.3238,0.2513,1.0724,24.7002,23.7355,1.0406,8.8047,3.5749,5.2298,0.3994
"sysbp",5,12,1909,4352,0.07184,0.17999,0.17999,1.3238,0.2772,1.0465,24.7002,23.5404,1.0493,8.8047,4.1173,4.6873,0.3991
"sysbp",5,13,1909,2297,0.02918,0.00625,0.00625,1.3238,0.3625,0.9612,24.7002,23.513,1.0505,8.8047,4.5177,4.2869,NA
"sysbp",5,14,1909,3437,0.04619,0.07199,0.07199,1.3238,0.4918,0.832,24.7002,25.1398,1.0178,8.8047,4.3329,4.4717,0.6416
"sysbp",5,15,1909,2576,0.0473,0.1047,0.1047,1.3238,0.3834,0.9404,24.7002,23.7101,1.0418,8.8047,4.0603,4.7444,0.4518
"sysbp",5,16,1909,1231,0.12591,0.26081,-0.26081,1.3238,0.0415,1.2822,24.7002,21.7087,1.1378,8.8047,2.7778,6.0269,0.4828
"sysbp",6,7,1585,3150,0.0425,0.07038,0.07038,0.0258,0.3464,0.3206,23.9167,23.4561,1.0196,4.3238,3.6554,0.6685,0.6039
"sysbp",6,8,1585,2916,0.04955,0.14084,-0.14084,0.0258,0.1981,0.1723,23.9167,22.8745,1.0456,4.3238,3.1653,1.1586,0.3518
"sysbp",6,9,1585,3123,0.06088,0.14489,0.14489,0.0258,0.2923,0.2665,23.9167,23.3336,1.025,4.3238,4.2428,0.0811,0.4202
"sysbp",6,10,1585,1717,0.02679,0.02762,0.02762,0.0258,0.0431,0.0173,23.9167,23.6987,1.0092,4.3238,3.7424,0.5814,0.9699
"sysbp",6,11,1585,2491,0.06041,0.13129,0.13129,0.0258,0.2513,0.2255,23.9167,23.7355,1.0076,4.3238,3.5749,0.749,0.4601
"sysbp",6,12,1585,4352,0.05744,0.12901,0.12901,0.0258,0.2772,0.2514,23.9167,23.5404,1.016,4.3238,4.1173,0.2065,0.4452
"sysbp",6,13,1585,2297,0.02162,0.04652,-0.04652,0.0258,0.3625,0.3367,23.9167,23.513,1.0172,4.3238,4.5177,0.1939,0.4647
"sysbp",6,14,1585,3437,0.0381,0.02208,0.02208,0.0258,0.4918,0.466,23.9167,25.1398,1.0511,4.3238,4.3329,0.0091,1.7255
"sysbp",6,15,1585,2576,0.0384,0.05361,0.05361,0.0258,0.3834,0.3576,23.9167,23.7101,1.0087,4.3238,4.0603,0.2635,0.7163
"sysbp",6,16,1585,1231,0.12543,0.32204,-0.32204,0.0258,0.0415,0.0157,23.9167,21.7087,1.1017,4.3238,2.7778,1.546,0.3895
"sysbp",7,8,3150,2916,0.0818,0.21295,-0.21295,0.3464,0.1981,0.1483,23.4561,22.8745,1.0254,3.6554,3.1653,0.4901,0.3841
"sysbp",7,9,3150,3123,0.0296,0.07471,0.07471,0.3464,0.2923,0.0541,23.4561,23.3336,1.0053,3.6554,4.2428,0.5874,0.3962
"sysbp",7,10,3150,1717,0.02386,0.04266,-0.04266,0.3464,0.0431,0.3033,23.4561,23.6987,1.0103,3.6554,3.7424,0.087,0.5593
"sysbp",7,11,3150,2491,0.02427,0.06207,0.06207,0.3464,0.2513,0.0951,23.4561,23.7355,1.0119,3.6554,3.5749,0.0805,0.391
"sysbp",7,12,3150,4352,0.02278,0.05906,0.05906,0.3464,0.2772,0.0692,23.4561,23.5404,1.0036,3.6554,4.1173,0.4619,0.3857
"sysbp",7,13,3150,2297,0.04609,0.11769,-0.11769,0.3464,0.3625,0.0161,23.4561,23.513,1.0024,3.6554,4.5177,0.8624,0.3916
"sysbp",7,14,3150,3437,0.02154,0.04579,-0.04579,0.3464,0.4918,0.1454,23.4561,25.1398,1.0718,3.6554,4.3329,0.6776,0.4704
"sysbp",7,15,3150,2576,0.00847,0.01639,-0.01639,0.3464,0.3834,0.037,23.4561,23.7101,1.0108,3.6554,4.0603,0.4049,0.5168
"sysbp",7,16,3150,1231,0.1443,0.39434,-0.39434,0.3464,0.0415,0.3049,23.4561,21.7087,1.0805,3.6554,2.7778,0.8776,0.3659
"sysbp",8,9,2916,3123,0.10974,0.28917,0.28917,0.1981,0.2923,0.0942,22.8745,23.3336,1.0201,3.1653,4.2428,1.0775,0.3795
"sysbp",8,10,2916,1717,0.06248,0.16959,0.16959,0.1981,0.0431,0.155,22.8745,23.6987,1.036,3.1653,3.7424,0.5772,0.3684
"sysbp",8,11,2916,2491,0.10394,0.27495,0.27495,0.1981,0.2513,0.0532,22.8745,23.7355,1.0376,3.1653,3.5749,0.4096,0.378
"sysbp",8,12,2916,4352,0.09703,0.27171,0.27171,0.1981,0.2772,0.0791,22.8745,23.5404,1.0291,3.1653,4.1173,0.9521,0.3571
"sysbp",8,13,2916,2297,0.0375,0.09382,0.09382,0.1981,0.3625,0.1644,22.8745,23.513,1.0279,3.1653,4.5177,1.3525,0.3997
"sysbp",8,14,2916,3437,0.06416,0.15837,0.15837,0.1981,0.4918,0.2937,22.8745,25.1398,1.099,3.1653,4.3329,1.1677,0.4051
"sysbp",8,15,2916,2576,0.07382,0.19551,0.19551,0.1981,0.3834,0.1853,22.8745,23.7101,1.0365,3.1653,4.0603,0.8951,0.3776
"sysbp",8,16,2916,1231,0.07137,0.18308,-0.18308,0.1981,0.0415,0.1566,22.8745,21.7087,1.0537,3.1653,2.7778,0.3875,0.3898
"sysbp",9,10,3123,1717,0.04638,0.11729,-0.11729,0.2923,0.0431,0.2492,23.3336,23.6987,1.0156,4.2428,3.7424,0.5004,0.3954
"sysbp",9,11,3123,2491,0.01427,0.01208,-0.01208,0.2923,0.2513,0.041,23.3336,23.7355,1.0172,4.2428,3.5749,0.6679,1.1813
"sysbp",9,12,3123,4352,0.0111,0.01533,-0.01533,0.2923,0.2772,0.0151,23.3336,23.5404,1.0089,4.2428,4.1173,0.1254,0.7241
"sysbp",9,13,3123,2297,0.07531,0.1927,-0.1927,0.2923,0.3625,0.0702,23.3336,23.513,1.0077,4.2428,4.5177,0.275,0.3908
"sysbp",9,14,3123,3437,0.04497,0.11783,-0.11783,0.2923,0.4918,0.1995,23.3336,25.1398,1.0774,4.2428,4.3329,0.0902,0.3817
"sysbp",9,15,3123,2576,0.03475,0.0908,-0.0908,0.2923,0.3834,0.0911,23.3336,23.7101,1.0161,4.2428,4.0603,0.1825,0.3827
"sysbp",9,16,3123,1231,0.17123,0.47231,-0.47231,0.2923,0.0415,0.2508,23.3336,21.7087,1.0749,4.2428,2.7778,1.465,0.3625
"sysbp",10,11,1717,2491,0.04206,0.10405,0.10405,0.0431,0.2513,0.2082,23.6987,23.7355,1.0016,3.7424,3.5749,0.1675,0.4042
"sysbp",10,12,1717,4352,0.0393,0.10144,0.10144,0.0431,0.2772,0.2341,23.6987,23.5404,1.0067,3.7424,4.1173,0.3749,0.3874
"sysbp",10,13,1717,2297,0.03265,0.07456,-0.07456,0.0431,0.3625,0.3194,23.6987,23.513,1.0079,3.7424,4.5177,0.7753,0.4379
"sysbp",10,14,1717,3437,0.02067,0.00449,-0.00449,0.0431,0.4918,0.4487,23.6987,25.1398,1.0608,3.7424,4.3329,0.5905,NA
"sysbp",10,15,1717,2576,0.02093,0.02607,0.02607,0.0431,0.3834,0.3403,23.6987,23.7101,1.0005,3.7424,4.0603,0.3179,0.8028
"sysbp",10,16,1717,1231,0.12274,0.35201,-0.35201,0.0431,0.0415,0.0016,23.6987,21.7087,1.0917,3.7424,2.7778,0.9646,0.3487
"sysbp",11,12,2491,4352,0.01042,0.00319,-0.00319,0.2513,0.2772,0.0259,23.7355,23.5404,1.0083,3.5749,4.1173,0.5425,NA
"sysbp",11,13,2491,2297,0.06916,0.17889,-0.17889,0.2513,0.3625,0.1112,23.7355,23.513,1.0095,3.5749,4.5177,0.9429,0.3866
"sysbp",11,14,2491,3437,0.04057,0.105,-0.105,0.2513,0.4918,0.2405,23.7355,25.1398,1.0592,3.5749,4.3329,0.7581,0.3864
"sysbp",11,15,2491,2576,0.0291,0.07799,-0.07799,0.2513,0.3834,0.1321,23.7355,23.7101,1.0011,3.5749,4.0603,0.4854,0.3731
"sysbp",11,16,2491,1231,0.16081,0.45593,-0.45593,0.2513,0.0415,0.2098,23.7355,21.7087,1.0934,3.5749,2.7778,0.7971,0.3527
"sysbp",12,13,4352,2297,0.0672,0.17643,-0.17643,0.2772,0.3625,0.0853,23.5404,23.513,1.0012,4.1173,4.5177,0.4004,0.3809
"sysbp",12,14,4352,3437,0.0394,0.10319,-0.10319,0.2772,0.4918,0.2146,23.5404,25.1398,1.0679,4.1173,4.3329,0.2156,0.3818
"sysbp",12,15,4352,2576,0.0287,0.07519,-0.07519,0.2772,0.3834,0.1062,23.5404,23.7101,1.0072,4.1173,4.0603,0.057,0.3817
"sysbp",12,16,4352,1231,0.16033,0.45141,-0.45141,0.2772,0.0415,0.2357,23.5404,21.7087,1.0844,4.1173,2.7778,1.3395,0.3552
"sysbp",13,14,2297,3437,0.03816,0.06727,0.06727,0.3625,0.4918,0.1293,23.513,25.1398,1.0692,4.5177,4.3329,0.1848,0.5673
"sysbp",13,15,2297,2576,0.04084,0.10064,0.10064,0.3625,0.3834,0.0209,23.513,23.7101,1.0084,4.5177,4.0603,0.4574,0.4058
"sysbp",13,16,2297,1231,0.1097,0.27503,-0.27503,0.3625,0.0415,0.321,23.513,21.7087,1.0831,4.5177,2.7778,1.7399,0.3989
"sysbp",14,15,3437,2576,0.01833,0.0297,0.0297,0.4918,0.3834,0.1084,25.1398,23.7101,1.0603,4.3329,4.0603,0.2726,0.6172
"sysbp",14,16,3437,1231,0.12589,0.32725,-0.32725,0.4918,0.0415,0.4503,25.1398,21.7087,1.1581,4.3329,2.7778,1.5551,0.3847
"sysbp",15,16,2576,1231,0.13963,0.37584,-0.37584,0.3834,0.0415,0.3419,23.7101,21.7087,1.0922,4.0603,2.7778,1.2825,0.3715
"pulse",1,2,2188,2952,0.03466,0.07784,0.07784,0.8203,0.8889,0.0686,17.5852,17.3752,1.0121,5.646,4.2931,1.3529,0.4453
"pulse",1,3,2188,2030,0.04244,0.07347,0.07347,0.8203,0.9082,0.0878,17.5852,18.7753,1.0677,5.646,4.5769,1.0691,0.5777
