"variable","region_i","region_j","n_i","n_j","nABCD","abs_SMD","SMD","skew_i","skew_j","skew_diff","sd_i","sd_j","sd_ratio","kurt_i","kurt_j","kurt_diff","ratio"
"weight",4,16,2876,1231,0.09273,0.2109,0.2109,0.6455,0.3391,0.3064,15.3416,12.665,1.2113,4.6777,3.8344,0.8432,0.4397
"weight",5,6,1909,1585,0.09132,0.23539,-0.23539,0.3749,0.3345,0.0404,12.3431,12.3488,1.0005,3.9491,3.6804,0.2687,0.388
"weight",5,7,1909,3150,0.22737,0.56336,-0.56336,0.3749,0.6678,0.2929,12.3431,16.8838,1.3679,3.9491,4.5014,0.5522,0.4036
"weight",5,8,1909,2916,0.06099,0.14599,-0.14599,0.3749,0.5113,0.1364,12.3431,12.5878,1.0198,3.9491,4.1298,0.1806,0.4178
"weight",5,9,1909,3123,0.19931,0.51833,-0.51833,0.3749,0.6501,0.2752,12.3431,16.9487,1.3731,3.9491,4.181,0.2319,0.3845
"weight",5,10,1909,1717,0.24427,0.59556,-0.59556,0.3749,0.8108,0.4359,12.3431,17.0594,1.3821,3.9491,5.0083,1.0591,0.4102
"weight",5,11,1909,2491,0.22906,0.57713,-0.57713,0.3749,0.5376,0.1627,12.3431,16.7792,1.3594,3.9491,4.0874,0.1383,0.3969
"weight",5,12,1909,4352,0.18195,0.44293,-0.44293,0.3749,0.7261,0.3512,12.3431,16.8359,1.364,3.9491,4.5622,0.6131,0.4108
"weight",5,13,1909,2297,0.11963,0.30399,-0.30399,0.3749,0.5133,0.1384,12.3431,12.0422,1.025,3.9491,4.5414,0.5923,0.3935
"weight",5,14,1909,3437,0.1907,0.47881,-0.47881,0.3749,0.6775,0.3026,12.3431,16.4807,1.3352,3.9491,4.3978,0.4487,0.3983
"weight",5,15,1909,2576,0.21012,0.50384,-0.50384,0.3749,0.879,0.5041,12.3431,16.8485,1.365,3.9491,5.9381,1.989,0.417
"weight",5,16,1909,1231,0.02925,0.06517,-0.06517,0.3749,0.3391,0.0358,12.3431,12.665,1.0261,3.9491,3.8344,0.1147,0.4488
"weight",6,7,1585,3150,0.14567,0.36933,-0.36933,0.3345,0.6678,0.3332,12.3488,16.8838,1.3672,3.6804,4.5014,0.8209,0.3944
"weight",6,8,1585,2916,0.03722,0.08657,0.08657,0.3345,0.5113,0.1768,12.3488,12.5878,1.0194,3.6804,4.1298,0.4493,0.4299
"weight",6,9,1585,3123,0.1312,0.32522,-0.32522,0.3345,0.6501,0.3156,12.3488,16.9487,1.3725,3.6804,4.181,0.5006,0.4034
"weight",6,10,1585,1717,0.16072,0.39291,-0.39291,0.3345,0.8108,0.4763,12.3488,17.0594,1.3815,3.6804,5.0083,1.3279,0.4091
"weight",6,11,1585,2491,0.15534,0.37871,-0.37871,0.3345,0.5376,0.2031,12.3488,16.7792,1.3588,3.6804,4.0874,0.407,0.4102
"weight",6,12,1585,4352,0.11373,0.25409,-0.25409,0.3345,0.7261,0.3916,12.3488,16.8359,1.3634,3.6804,4.5622,0.8818,0.4476
"weight",6,13,1585,2297,0.02823,0.06545,-0.06545,0.3345,0.5133,0.1788,12.3488,12.0422,1.0255,3.6804,4.5414,0.861,0.4313
"weight",6,14,1585,3437,0.12042,0.28371,-0.28371,0.3345,0.6775,0.343,12.3488,16.4807,1.3346,3.6804,4.3978,0.7174,0.4244
"weight",6,15,1585,2576,0.13064,0.30735,-0.30735,0.3345,0.879,0.5445,12.3488,16.8485,1.3644,3.6804,5.9381,2.2577,0.4251
"weight",6,16,1585,1231,0.0714,0.16763,0.16763,0.3345,0.3391,0.0046,12.3488,12.665,1.0256,3.6804,3.8344,0.154,0.4259
"weight",7,8,3150,2916,0.18996,0.45497,0.45497,0.6678,0.5113,0.1565,16.8838,12.5878,1.3413,4.5014,4.1298,0.3716,0.4175
"weight",7,9,3150,3123,0.01758,0.03972,0.03972,0.6678,0.6501,0.0176,16.8838,16.9487,1.0038,4.5014,4.181,0.3203,0.4426
"weight",7,10,3150,1717,0.00876,0.0093,-0.0093,0.6678,0.8108,0.143,16.8838,17.0594,1.0104,4.5014,5.0083,0.5069,NA
"weight",7,11,3150,2491,0.00836,0.00181,-0.00181,0.6678,0.5376,0.1301,16.8838,16.7792,1.0062,4.5014,4.0874,0.4139,NA
"weight",7,12,3150,4352,0.04154,0.10231,0.10231,0.6678,0.7261,0.0583,16.8838,16.8359,1.0028,4.5014,4.5622,0.0608,0.406
"weight",7,13,3150,2297,0.14084,0.32817,0.32817,0.6678,0.5133,0.1544,16.8838,12.0422,1.4021,4.5014,4.5414,0.0401,0.4292
"weight",7,14,3150,3437,0.03413,0.08335,0.08335,0.6678,0.6775,0.0098,16.8838,16.4807,1.0245,4.5014,4.3978,0.1035,0.4095
"weight",7,15,3150,2576,0.0273,0.06107,0.06107,0.6678,0.879,0.2113,16.8838,16.8485,1.0021,4.5014,5.9381,1.4368,0.447
