"region","n","W1_age","W1_sysbp","slack_age_pct","slack_sysbp_pct","joint_eligible"
"R1",2188,0.646356228511672,3.61076629476657,54.7134468407063,38.4747610845648,TRUE
"R2",2952,2.14817788734986,0.952507611495868,-53.4489203203898,424.930188447286,FALSE
"R3",2030,2.60694338049964,3.35280970625798,-61.6409007007915,49.1286544138654,FALSE
"R4",2876,0.555527241195762,2.60054354565765,80.0091743201501,92.2674976294447,TRUE
"R5",1909,0.389876808540298,3.37205702394477,156.491275729892,48.2774450282218,TRUE
"R6",1585,0.912122986633087,3.36945147624549,9.63433820380877,48.3921058145463,TRUE
"R7",3150,0.404735169508132,5.07155986674505,147.075143288211,-1.41100309619291,FALSE
"R9",3123,0.586033339856026,6.80376477982946,70.638755850593,-26.5112748338527,FALSE
"R10",1717,1.3816825761189,3.99841754327938,-27.6244763244416,25.0494713440846,FALSE
"R11",2491,1.2695770908329,6.44427194415671,-21.2336133645925,-22.4117162756654,FALSE
"R12",4352,0.859065022845558,6.40365749566288,16.4056239523768,-21.9196216633004,FALSE
"R13",2297,1.14505450554878,2.39993195036408,-12.6679127365436,108.339240587279,FALSE
"R14",3437,0.702349533519877,4.36305218407127,42.379250255699,14.5986751718009,TRUE
"R15",2576,0.610320787431093,4.72425267745316,63.8482615362176,5.83684534620394,TRUE
"R16",1231,1.74278987579661,4.28226212643428,-42.6207362179614,16.7607178723401,FALSE
