"set","n","method","measure","type","value","mc_se"
"Set2_LogNormal",25,"SMD","false_pooling_at_k","overall",0.9761,0.00152737650891979
"Set2_LogNormal",25,"SMD","auc","location",0.667816666666662,0.00315359247966134
"Set2_LogNormal",25,"SMD","auc","shape",0.507466666666666,0.00291851986839597
"Set2_LogNormal",25,"SMD","auc","combined",0.541383333333335,0.00299640854932094
"Set2_LogNormal",25,"SMD_log","precision_at_k","overall",0.394966666666677,0.00248173772004787
"Set2_LogNormal",25,"SMD_log","false_pooling_at_k","overall",0.9713,0.00166962001665049
"Set2_LogNormal",25,"SMD_log","auc","location",0.672533333333331,0.00314305272695875
"Set2_LogNormal",25,"SMD_log","auc","shape",0.622566666666666,0.00298997716453536
"Set2_LogNormal",25,"SMD_log","auc","combined",0.501283333333335,0.00293921791846431
"Set2_LogNormal",25,"KS","precision_at_k","overall",0.4702,0.00251530347186083
"Set2_LogNormal",25,"KS","false_pooling_at_k","overall",0.9394,0.00238595138257258
"Set2_LogNormal",25,"KS","auc","location",0.64065,0.00295570671658118
"Set2_LogNormal",25,"KS","auc","shape",0.738633333333338,0.00249913805140818
"Set2_LogNormal",25,"KS","auc","combined",0.606499999999997,0.00277625297038211
"Set2_LogNormal",50,"W1","precision_at_k","overall",0.705633333333364,0.00240932076642961
"Set2_LogNormal",50,"W1","false_pooling_at_k","overall",0.6905,0.00462287518758618
"Set2_LogNormal",50,"W1","auc","location",0.773466666666664,0.0028105828577002
"Set2_LogNormal",50,"W1","auc","shape",0.940883333333331,0.0012421843551674
"Set2_LogNormal",50,"W1","auc","combined",0.880499999999995,0.00192996185915072
"Set2_LogNormal",50,"SMD","precision_at_k","overall",0.420233333333342,0.00250762284511275
"Set2_LogNormal",50,"SMD","false_pooling_at_k","overall",0.9609,0.00193832891945614
"Set2_LogNormal",50,"SMD","auc","location",0.768133333333331,0.00291755346518629
"Set2_LogNormal",50,"SMD","auc","shape",0.502749999999999,0.00296171297562742
"Set2_LogNormal",50,"SMD","auc","combined",0.585783333333333,0.00303780984245031
"Set2_LogNormal",50,"SMD_log","precision_at_k","overall",0.43826666666667,0.00245470287860279
"Set2_LogNormal",50,"SMD_log","false_pooling_at_k","overall",0.9601,0.0019572427033968
"Set2_LogNormal",50,"SMD_log","auc","location",0.776216666666661,0.00286310666060468
"Set2_LogNormal",50,"SMD_log","auc","shape",0.697949999999997,0.00286214212221823
"Set2_LogNormal",50,"SMD_log","auc","combined",0.495100000000001,0.00293652082498237
"Set2_LogNormal",50,"KS","precision_at_k","overall",0.571633333333341,0.00251929882220308
"Set2_LogNormal",50,"KS","false_pooling_at_k","overall",0.8659,0.00340759724732839
"Set2_LogNormal",50,"KS","auc","location",0.739141666666668,0.00284633315644833
"Set2_LogNormal",50,"KS","auc","shape",0.845800000000003,0.00199322112281612
"Set2_LogNormal",50,"KS","auc","combined",0.692900000000004,0.00268344991465125
"Set2_LogNormal",75,"W1","precision_at_k","overall",0.778833333333373,0.00225651587383739
"Set2_LogNormal",75,"W1","false_pooling_at_k","overall",0.5537,0.00497107946023799
"Set2_LogNormal",75,"W1","auc","location",0.834699999999993,0.00246538973705067
"Set2_LogNormal",75,"W1","auc","shape",0.966183333333333,0.000952382378272999
"Set2_LogNormal",75,"W1","auc","combined",0.924149999999996,0.0015563347165697
"Set2_LogNormal",75,"SMD","precision_at_k","overall",0.449600000000001,0.00250674326124093
"Set2_LogNormal",75,"SMD","false_pooling_at_k","overall",0.9546,0.00208179826111946
"Set2_LogNormal",75,"SMD","auc","location",0.830916666666663,0.00258096114202934
"Set2_LogNormal",75,"SMD","auc","shape",0.505916666666665,0.00295890358353673
"Set2_LogNormal",75,"SMD","auc","combined",0.624116666666667,0.00306916651280634
"Set2_LogNormal",75,"SMD_log","precision_at_k","overall",0.474866666666667,0.00242925420654143
"Set2_LogNormal",75,"SMD_log","false_pooling_at_k","overall",0.9493,0.00219384388687983
"Set2_LogNormal",75,"SMD_log","auc","location",0.839866666666663,0.00251797061142477
"Set2_LogNormal",75,"SMD_log","auc","shape",0.755833333333327,0.00266310960678983
"Set2_LogNormal",75,"SMD_log","auc","combined",0.501016666666668,0.00291969499453463
"Set2_LogNormal",75,"KS","precision_at_k","overall",0.644566666666687,0.0024415484840559
"Set2_LogNormal",75,"KS","false_pooling_at_k","overall",0.7877,0.00408936070798359
"Set2_LogNormal",75,"KS","auc","location",0.801541666666667,0.00259536950778528
"Set2_LogNormal",75,"KS","auc","shape",0.896983333333331,0.001605764260752
"Set2_LogNormal",75,"KS","auc","combined",0.754891666666671,0.00247984294837551
"Set2_LogNormal",100,"W1","precision_at_k","overall",0.830433333333368,0.00210376464146033
"Set2_LogNormal",100,"W1","false_pooling_at_k","overall",0.4384,0.00496190930993302
"Set2_LogNormal",100,"W1","auc","location",0.873299999999997,0.00220094421656778
"Set2_LogNormal",100,"W1","auc","shape",0.981249999999999,0.00069570857164995
"Set2_LogNormal",100,"W1","auc","combined",0.949799999999999,0.00124105528572363
"Set2_LogNormal",100,"SMD","precision_at_k","overall",0.464633333333332,0.00248985227138733
"Set2_LogNormal",100,"SMD","false_pooling_at_k","overall",0.9514,0.00215030323442997
"Set2_LogNormal",100,"SMD","auc","location",0.868249999999994,0.00232128421712339
"Set2_LogNormal",100,"SMD","auc","shape",0.5069,0.0029603331456667
"Set2_LogNormal",100,"SMD","auc","combined",0.64835,0.00307860989102379
"Set2_LogNormal",100,"SMD_log","precision_at_k","overall",0.500800000000003,0.00238279537052107
"Set2_LogNormal",100,"SMD_log","false_pooling_at_k","overall",0.9396,0.00238226446894546
"Set2_LogNormal",100,"SMD_log","auc","location",0.879699999999995,0.00220303121983208
"Set2_LogNormal",100,"SMD_log","auc","shape",0.800983333333328,0.00245233742806931
"Set2_LogNormal",100,"SMD_log","auc","combined",0.500183333333334,0.00290760439289033
"Set2_LogNormal",100,"KS","precision_at_k","overall",0.700700000000035,0.00238158581621423
"Set2_LogNormal",100,"KS","false_pooling_at_k","overall",0.7032,0.00456847633243295
"Set2_LogNormal",100,"KS","auc","location",0.845299999999998,0.00236842350285725
"Set2_LogNormal",100,"KS","auc","shape",0.931908333333332,0.00130497115495959
"Set2_LogNormal",100,"KS","auc","combined",0.802050000000002,0.00228641441149836
