"set","n","rule","tau","viol_anchor","viol_pair","sensitivity","harm","pool_size","mc_se_viol","feasible"
"Set1_Gaussian",25,"ANCHOR_tau",3.995151,0.14519,0.14519,0.526515555555545,1.18323986154053,2.78124166666667,0.00032159739828446,FALSE
"Set1_Gaussian",25,"ANCHOR_tau",7.998579,0.636220833333333,0.636220833333333,0.716409047620075,6.98995307421937,6.38336833333333,0.000439169561564752,FALSE
"Set1_Gaussian",25,"ANCHOR_tau",9.2047,0.361018333333333,0.642120833333333,0.728385670998695,8.11170471802162,7.74869833333333,0.000438448112029382,FALSE
"Set1_Gaussian",25,"ANCHOR_tau",11.9629256,0,0,0.84693363636576,9.28206453793018,10.31627,0,TRUE
"Set1_Gaussian",25,"CLUST_tau",3.995151,0.0655058333333333,0.0655058333333333,0.408352222221857,0.533353477800129,2.310675,0.000225859135917056,FALSE
"Set1_Gaussian",25,"CLUST_tau",7.998579,0.156506666666667,0.156506666666667,0.534204365077873,2.08166709872367,3.84172333333333,0.000331677968763322,FALSE
"Set1_Gaussian",25,"CLUST_tau",9.2047,0.0667133333333333,0.084405,0.384881103897309,2.79269968039003,4.26961166666667,0.000227784006771197,FALSE
"Set1_Gaussian",25,"CLUST_tau",11.9629256,0,0,0.460880606057253,5.47677166015349,6.06968666666667,0,TRUE
"Set1_Gaussian",50,"ANCHOR_tau",3.995151,0.0508541666666667,0.0508541666666667,0.741912777777441,0.409046833164485,3.28893666666667,0.000200557598541553,FALSE
"Set1_Gaussian",50,"ANCHOR_tau",7.998579,0.608295833333333,0.608295833333333,0.76405428571568,6.87683667249927,6.60593666666667,0.000445600729804383,FALSE
"Set1_Gaussian",50,"ANCHOR_tau",9.2047,0.336075,0.638869166666667,0.802584307362834,8.27365720488103,8.29034833333333,0.000431208180943381,FALSE
"Set1_Gaussian",50,"ANCHOR_tau",11.9629256,0,0,0.910410000001821,9.43884696522924,11.01451,0,TRUE
"Set1_Gaussian",50,"CLUST_tau",3.995151,0.0102025,0.0102025,0.656923333333701,0.0820434606940242,2.98354833333333,9.17351668016416e-05,TRUE
