"set","n","rule","tau","viol_anchor","viol_pair","sensitivity","harm","pool_size","mc_se_viol","feasible"
"Set1_Gaussian",25,"ANCHOR_tau",3.995151,0.148458333333333,0.148458333333333,0.523777777777769,1.20867523521034,2.779,0.00229508947353931,FALSE
"Set1_Gaussian",25,"ANCHOR_tau",7.998579,0.633,0.633,0.71612301587304,6.96361216840004,6.37758333333333,0.00311120957185465,FALSE
"Set1_Gaussian",25,"ANCHOR_tau",9.2047,0.354458333333333,0.6365,0.728349567099566,8.08694766200411,7.72858333333333,0.00308772855607409,FALSE
"Set1_Gaussian",25,"ANCHOR_tau",11.9629256,0,0,0.845257575757497,9.27847618251147,10.2978333333333,0,TRUE
"Set1_Gaussian",25,"CLUST_tau",3.995151,0.067875,0.067875,0.402277777777776,0.553116519444345,2.2955,0.00162362742512714,FALSE
"Set1_Gaussian",25,"CLUST_tau",7.998579,0.165666666666667,0.165666666666667,0.532531746031667,2.20943077167489,3.85133333333333,0.0023998369929211,FALSE
"Set1_Gaussian",25,"CLUST_tau",9.2047,0.069625,0.0892083333333333,0.385998917748907,2.86665915183247,4.28491666666667,0.001642880592321,FALSE
"Set1_Gaussian",25,"CLUST_tau",11.9629256,0,0,0.457431818181875,5.4266142925032,6.03175,0,TRUE
"Set1_Gaussian",50,"ANCHOR_tau",3.995151,0.049875,0.049875,0.741472222222213,0.400568385423384,3.28583333333333,0.00140516138419222,TRUE
"Set1_Gaussian",50,"ANCHOR_tau",7.998579,0.606958333333333,0.606958333333333,0.764702380952396,6.87896425169173,6.59541666666667,0.00315277599195373,FALSE
"Set1_Gaussian",50,"ANCHOR_tau",9.2047,0.333541666666667,0.636375,0.800466450216425,8.25299998261914,8.26758333333333,0.00304337821660876,FALSE
"Set1_Gaussian",50,"ANCHOR_tau",11.9629256,0,0,0.908310606060548,9.43502254502787,10.9914166666667,0,TRUE
"Set1_Gaussian",50,"CLUST_tau",3.995151,0.0106666666666667,0.0106666666666667,0.657888888888897,0.0859681428526903,2.98691666666667,0.000663101578722071,TRUE
"Set1_Gaussian",50,"CLUST_tau",7.998579,0.0427083333333333,0.0427083333333333,0.599599206349046,0.699240808260134,3.97708333333333,0.00130518727259766,TRUE
"Set1_Gaussian",50,"CLUST_tau",9.2047,0.0225,0.0257916666666667,0.421449134199114,1.57174649584626,4.45258333333333,0.00095729109992729,TRUE
"Set1_Gaussian",50,"CLUST_tau",11.9629256,0,0,0.533787878788023,5.65521819334165,6.87166666666667,0,TRUE
"Set1_Gaussian",100,"ANCHOR_tau",3.995151,0.00508333333333333,0.00508333333333333,0.89983333333334,0.0406904838365456,3.705,0.000459052150975044,TRUE
"Set1_Gaussian",100,"ANCHOR_tau",7.998579,0.569833333333333,0.569833333333333,0.780809523809542,6.63262854461713,6.58325,0.00319585216566956,FALSE
"Set1_Gaussian",100,"ANCHOR_tau",9.2047,0.293166666666667,0.6105,0.863690476190429,8.38597387207811,8.69691666666667,0.00293839505670345,FALSE
"Set1_Gaussian",100,"ANCHOR_tau",11.9629256,0,0,0.947628787878753,9.52358784912184,11.4239166666667,0,TRUE
"Set1_Gaussian",100,"CLUST_tau",3.995151,0.000416666666666667,0.000416666666666667,0.840555555555552,0.00333619018361149,3.52216666666667,0.000131734115986766,TRUE
"Set1_Gaussian",100,"CLUST_tau",7.998579,0.011125,0.011125,0.619543650793457,0.155827130220806,4.04391666666667,0.000677041184585546,TRUE
"Set1_Gaussian",100,"CLUST_tau",9.2047,0.001875,0.001875,0.476770562770527,1.78433856026961,4.862,0.000279246335025189,TRUE
"Set1_Gaussian",100,"CLUST_tau",11.9629256,0,0,0.619212121212304,6.27344965899586,7.81133333333333,0,TRUE
"Set1_Gaussian",200,"ANCHOR_tau",3.995151,0,0,0.97736111111112,0,3.93208333333333,0,TRUE
"Set1_Gaussian",200,"ANCHOR_tau",7.998579,0.54125,0.54125,0.790178571428591,6.49484656385967,6.55783333333333,0.00321648383008009,FALSE
"Set1_Gaussian",200,"ANCHOR_tau",9.2047,0.208916666666667,0.537541666666667,0.924493506493469,8.35522668380284,9.03633333333333,0.00262417044872879,FALSE
"Set1_Gaussian",200,"ANCHOR_tau",11.9629256,0,0,0.972886363636353,9.57152946172207,11.70175,0,TRUE
"Set1_Gaussian",200,"CLUST_tau",3.995151,0,0,0.951611111111114,0,3.85483333333333,0,TRUE
"Set1_Gaussian",200,"CLUST_tau",7.998579,0.00966666666666667,0.00966666666666667,0.62267857142837,0.129669503433001,4.06408333333333,0.000631572845568316,TRUE
"Set1_Gaussian",200,"CLUST_tau",9.2047,0,0,0.568626623376579,3.28634826047953,5.64275,0,TRUE
"Set1_Gaussian",200,"CLUST_tau",11.9629256,0,0,0.720727272727425,7.14353164071561,8.928,0,TRUE
"Set1_Gaussian",400,"ANCHOR_tau",3.995151,0,0,0.997972222222223,0,3.99391666666667,0,TRUE
