"set","n","rule","recall","any_wrong","pool_size","mc_se_wrong"
"Set1_Gaussian",25,"ANCHOR_tau_min",0.523777777777769,0.148458333333333,2.779,0.00229508947353931
"Set1_Gaussian",25,"CLUST_tau_min",0.402277777777776,0.067875,2.2955,0.00162362742512714
"Set1_Gaussian",25,"CLUST_sil",0.844388888888883,0.394666666666667,4.95683333333333,0.00315505473333988
"Set1_Gaussian",50,"ANCHOR_tau_min",0.741472222222213,0.049875,3.28583333333333,0.00140516138419222
"Set1_Gaussian",50,"CLUST_tau_min",0.657888888888897,0.0106666666666667,2.98691666666667,0.000663101578722071
"Set1_Gaussian",50,"CLUST_sil",0.94086111111111,0.07275,4.00208333333333,0.00167652216284188
"Set1_Gaussian",100,"ANCHOR_tau_min",0.89983333333334,0.00508333333333333,3.705,0.000459052150975044
"Set1_Gaussian",100,"CLUST_tau_min",0.840555555555552,0.000416666666666667,3.52216666666667,0.000131734115986766
"Set1_Gaussian",100,"CLUST_sil",0.989999999999998,0.00145833333333333,3.97233333333333,0.000246323516709752
"Set1_Gaussian",200,"ANCHOR_tau_min",0.97736111111112,0,3.93208333333333,0
"Set1_Gaussian",200,"CLUST_tau_min",0.951611111111114,0,3.85483333333333,0
"Set1_Gaussian",200,"CLUST_sil",0.998944444444445,0,3.99683333333333,0
"Set1_Gaussian",400,"ANCHOR_tau_min",0.997972222222223,0,3.99391666666667,0
"Set1_Gaussian",400,"CLUST_tau_min",0.994055555555557,0,3.98216666666667,0
"Set1_Gaussian",400,"CLUST_sil",0.999694444444444,0,3.99908333333333,0
"Set2_LogNormal",25,"ANCHOR_tau_min",0.0672499999999978,0.099625,1.3205,0.00193325997750561
"Set2_LogNormal",25,"CLUST_tau_min",0.0538333333333325,0.0778333333333333,1.24633333333333,0.00172934604156643
"Set2_LogNormal",25,"CLUST_sil",0.827916666666667,0.736666666666667,7.29466666666667,0.00284303893226427
"Set2_LogNormal",50,"ANCHOR_tau_min",0.207916666666666,0.129875,1.79741666666667,0.00216994128544799
"Set2_LogNormal",50,"CLUST_tau_min",0.151416666666675,0.0890416666666667,1.56208333333333,0.00183840111990339
"Set2_LogNormal",50,"CLUST_sil",0.916416666666672,0.6225,6.45175,0.00312912228108778
"Set2_LogNormal",100,"ANCHOR_tau_min",0.440611111111108,0.103166666666667,2.46266666666667,0.00196345046575703
"Set2_LogNormal",100,"CLUST_tau_min",0.331833333333324,0.04975,2.05983333333333,0.00140349173937719
"Set2_LogNormal",100,"CLUST_sil",0.977277777777781,0.512958333333333,5.965,0.00322640203114102
"Set2_LogNormal",200,"ANCHOR_tau_min",0.687749999999992,0.0445,3.11966666666667,0.00133103578088645
"Set2_LogNormal",200,"CLUST_tau_min",0.592777777777788,0.0120416666666667,2.79316666666667,0.00070405565980715
"Set2_LogNormal",200,"CLUST_sil",0.992916666666669,0.302125,5.17441666666667,0.00296398861597426
"Set2_LogNormal",400,"ANCHOR_tau_min",0.865027777777781,0.00658333333333333,3.6025,0.000522015048296644
"Set2_LogNormal",400,"CLUST_tau_min",0.801972222222222,0.000416666666666667,3.4065,0.000131734115986766
"Set2_LogNormal",400,"CLUST_sil",0.999166666666666,0.041,4.1615,0.00127995768159212
"Set3_Mixture",25,"ANCHOR_tau_min",0.000138888888888889,0,1.00041666666667,0
"Set3_Mixture",25,"CLUST_tau_min",0.000138888888888889,0,1.00041666666667,0
"Set3_Mixture",25,"CLUST_sil",0.647027777777762,0.750875,5.956,0.00279181642166738
"Set3_Mixture",50,"ANCHOR_tau_min",0.00119444444444444,0,1.00358333333333,0
"Set3_Mixture",50,"CLUST_tau_min",0.00119444444444444,0,1.00358333333333,0
"Set3_Mixture",50,"CLUST_sil",0.808,0.641916666666667,5.67316666666667,0.00309475133439817
"Set3_Mixture",100,"ANCHOR_tau_min",0.0155555555555554,0.000333333333333333,1.047,0.000117831486705631
"Set3_Mixture",100,"CLUST_tau_min",0.0141388888888888,0.000333333333333333,1.04275,0.000117831486705631
"Set3_Mixture",100,"CLUST_sil",0.956333333333335,0.651125,6.37825,0.00307653237140318
"Set3_Mixture",200,"ANCHOR_tau_min",0.0893611111111084,0.00229166666666667,1.27041666666667,0.000308653995232766
"Set3_Mixture",200,"CLUST_tau_min",0.0764166666666634,0.00220833333333333,1.2315,0.000303002791325304
"Set3_Mixture",200,"CLUST_sil",0.993999999999999,0.661333333333333,6.62116666666667,0.00305485648568769
"Set3_Mixture",400,"ANCHOR_tau_min",0.29694444444443,0.004125,1.89508333333333,0.000413722147854088
"Set3_Mixture",400,"CLUST_tau_min",0.237944444444432,0.00229166666666667,1.71616666666667,0.000308653995232766
