"set","n","method","measure","value","mc_se"
"Set1_Gaussian",1500,"RV3","exact_recovery",0.448,0.0111197122264922
"Set1_Gaussian",2000,"W1","ari",1,0
"Set1_Gaussian",2000,"W1","exact_recovery",1,0
"Set1_Gaussian",2000,"SMD","ari",0.459952798488027,0.00174137147592061
"Set1_Gaussian",2000,"SMD","exact_recovery",0.0015,0.000865375640979107
"Set1_Gaussian",2000,"KS","ari",1,0
"Set1_Gaussian",2000,"KS","exact_recovery",1,0
"Set1_Gaussian",2000,"RV1","ari",0.4953808410949,0.0018108177963821
"Set1_Gaussian",2000,"RV1","exact_recovery",0.002,0.000998999499499374
"Set1_Gaussian",2000,"RV2","ari",1,0
"Set1_Gaussian",2000,"RV2","exact_recovery",1,0
"Set1_Gaussian",2000,"RV3","ari",0.736047767282289,0.00588714509829811
"Set1_Gaussian",2000,"RV3","exact_recovery",0.4825,0.0111734898308452
"Set2_LogNormal",150,"W1","ari",0.789216796810249,0.0060483137022833
"Set2_LogNormal",150,"W1","exact_recovery",0.5975,0.0109657136110697
"Set2_LogNormal",150,"SMD","ari",0.385539582603324,0.0027990229975067
"Set2_LogNormal",150,"SMD","exact_recovery",0.0015,0.000865375640979107
"Set2_LogNormal",150,"KS","ari",0.930964284297573,0.00311207988503737
"Set2_LogNormal",150,"KS","exact_recovery",0.7845,0.00919401299759795
"Set2_LogNormal",150,"RV1","ari",0.408541790624335,0.00306548784607046
"Set2_LogNormal",150,"RV1","exact_recovery",0.0035,0.0013205585939291
"Set2_LogNormal",150,"RV2","ari",0.753045345500687,0.00595524130069218
"Set2_LogNormal",150,"RV2","exact_recovery",0.489,0.0111776339177842
"Set2_LogNormal",150,"RV3","ari",0.556157707482318,0.00613985338329252
"Set2_LogNormal",150,"RV3","exact_recovery",0.209,0.00909172700866013
"Set2_LogNormal",200,"W1","ari",0.883042496039409,0.0050964017120643
"Set2_LogNormal",200,"W1","exact_recovery",0.777,0.00930781929347578
"Set2_LogNormal",200,"SMD","ari",0.412571480805522,0.00239866508178379
"Set2_LogNormal",200,"SMD","exact_recovery",0.0015,0.000865375640979107
"Set2_LogNormal",200,"KS","ari",0.969646458989464,0.00214926657889642
"Set2_LogNormal",200,"KS","exact_recovery",0.9025,0.00663301402079025
"Set2_LogNormal",200,"RV1","ari",0.439251763065749,0.00268136036811847
"Set2_LogNormal",200,"RV1","exact_recovery",0.003,0.00122290637417588
"Set2_LogNormal",200,"RV2","ari",0.831237093863463,0.0053881989712375
"Set2_LogNormal",200,"RV2","exact_recovery",0.64,0.010733126291999
"Set2_LogNormal",200,"RV3","ari",0.620785187715137,0.00635214585305831
"Set2_LogNormal",200,"RV3","exact_recovery",0.3065,0.0103091646121303
"Set2_LogNormal",300,"W1","ari",0.968032270551261,0.00289688459966239
"Set2_LogNormal",300,"W1","exact_recovery",0.9385,0.00537204569973116
"Set2_LogNormal",300,"SMD","ari",0.433882248885629,0.00199117975190957
"Set2_LogNormal",300,"SMD","exact_recovery",0.002,0.000998999499499374
"Set2_LogNormal",300,"KS","ari",0.992817278760965,0.00101436835575138
"Set2_LogNormal",300,"KS","exact_recovery",0.9745,0.00352489361541593
"Set2_LogNormal",300,"RV1","ari",0.465850489070666,0.00219178763021683
"Set2_LogNormal",300,"RV1","exact_recovery",0.0025,0.00111663557170636
"Set2_LogNormal",300,"RV2","ari",0.928299469076645,0.00387373210326443
"Set2_LogNormal",300,"RV2","exact_recovery",0.8405,0.0081871774745635
"Set2_LogNormal",300,"RV3","ari",0.729594613715616,0.00623445178693037
"Set2_LogNormal",300,"RV3","exact_recovery",0.484,0.0111746140872963
"Set2_LogNormal",400,"W1","ari",0.99282337497776,0.00140000825996605
"Set2_LogNormal",400,"W1","exact_recovery",0.986,0.00262716577322407
"Set2_LogNormal",400,"SMD","ari",0.446427527484388,0.00190066353631157
"Set2_LogNormal",400,"SMD","exact_recovery",0.0015,0.000865375640979107
"Set2_LogNormal",400,"KS","ari",0.997518463856348,0.000593142652444813
"Set2_LogNormal",400,"KS","exact_recovery",0.991,0.00211175282644537
"Set2_LogNormal",400,"RV1","ari",0.479984000897499,0.0020544999900436
"Set2_LogNormal",400,"RV1","exact_recovery",0.0035,0.0013205585939291
