"set","n","tau_clin","n_acceptable","method","tau","violation","violation_se","sensitivity","sensitivity_se"
"Set1_Gaussian",25,4.520839,4,"W1",4.25531308439271,0.5085,0.0111787242116442,0.6645,0.00538816991194598
"Set1_Gaussian",25,4.520839,4,"W1",4.33875059585139,0.5295,0.0111608635418591,0.678875,0.00531671817830323
"Set1_Gaussian",25,4.520839,4,"W1",4.42218810731007,0.5495,0.0111254157225697,0.692125,0.00521388695576534
"Set1_Gaussian",25,4.520839,4,"W1",4.50562561876875,0.573,0.0110605379616002,0.705125,0.00511211719226975
"Set1_Gaussian",25,4.520839,4,"W1",4.520839,0.5765,0.0110487046752097,0.70775,0.00510954682432796
"Set1_Gaussian",25,4.520839,4,"W1",4.58906313022743,0.5945,0.0109788375978516,0.71875,0.00502610373450449
"Set1_Gaussian",25,4.520839,4,"W1",4.67250064168611,0.617,0.0108699356023851,0.731625,0.0049310804787085
"Set1_Gaussian",25,4.520839,4,"W1",4.75593815314479,0.6355,0.0107619642723808,0.742625,0.00483680469809357
"Set1_Gaussian",25,4.520839,4,"W1",4.83937566460347,0.653,0.0106440358887031,0.755125,0.00470730731814909
"Set1_Gaussian",25,4.520839,4,"W1",4.8936535,0.664,0.0105618180253212,0.763,0.00465797702871107
"Set1_Gaussian",25,4.520839,4,"W1",4.92281317606215,0.6715,0.010502089077893,0.767625,0.00463522434057943
"Set1_Gaussian",25,4.520839,4,"W1",5.00625068752083,0.69,0.0103416633091587,0.777125,0.00458164732247038
"Set1_Gaussian",25,4.520839,4,"W1",5.08968819897951,0.705,0.0101974261458468,0.785875,0.00452046647897095
"Set1_Gaussian",25,4.520839,4,"W1",5.17312571043819,0.723,0.0100067727065223,0.795125,0.00440851360296189
"Set1_Gaussian",25,4.520839,4,"W1",5.25656322189687,0.742,0.00978355763513457,0.803875,0.00431588544652195
"Set1_Gaussian",25,4.520839,4,"W1",5.34000073335555,0.759,0.00956344603163525,0.812875,0.0042176998693008
"Set1_Gaussian",25,4.520839,4,"W1",5.42343824481423,0.776,0.00932266056445262,0.821125,0.00414789008864748
"Set1_Gaussian",25,4.520839,4,"W1",5.50687575627291,0.7935,0.0090514570650255,0.83075,0.00402209134033527
"Set1_Gaussian",25,4.520839,4,"W1",5.59031326773159,0.806,0.00884205858383668,0.838,0.00396112357797633
"Set1_Gaussian",25,4.520839,4,"W1",5.617227,0.81,0.00877211491032807,0.840375,0.00394817105600809
"Set1_Gaussian",25,4.520839,4,"W1",5.67375077919028,0.822,0.00855324499824482,0.84675,0.00389402988560694
"Set1_Gaussian",25,4.520839,4,"W1",5.75718829064896,0.829,0.00841899637724118,0.853125,0.00385820452898754
"Set1_Gaussian",25,4.520839,4,"W1",5.84062580210764,0.8425,0.00814535910810567,0.85875,0.00377398579091125
"Set1_Gaussian",25,4.520839,4,"W1",5.92406331356632,0.8515,0.0079513442259784,0.8645,0.00374264278284743
"Set1_Gaussian",25,4.520839,4,"W1",6.007500825025,0.8615,0.00772391578151911,0.8705,0.00369406618782067
"Set1_Gaussian",25,4.520839,4,"W1",6.09093833648368,0.869,0.00754450130890041,0.8775,0.00359209200884388
"Set1_Gaussian",25,4.520839,4,"W1",6.17437584794236,0.8785,0.00730540039970432,0.88325,0.00352185586729497
"Set1_Gaussian",25,4.520839,4,"W1",6.25781335940104,0.8865,0.00709287494602859,0.888125,0.00346970707517218
"Set1_Gaussian",25,4.520839,4,"W1",6.34125087085972,0.895,0.00685474288358068,0.892625,0.00339590631312172
"Set1_Gaussian",25,4.520839,4,"W1",6.4246883823184,0.9,0.00670820393249937,0.8985,0.00331739732320385
"Set1_Gaussian",25,4.520839,4,"W1",6.50812589377708,0.9105,0.00638317123379908,0.903,0.00323291663981612
"Set1_Gaussian",25,4.520839,4,"W1",6.59156340523576,0.9175,0.0061519813881383,0.908125,0.00314962175308401
"Set1_Gaussian",25,4.520839,4,"W1",6.67500091669444,0.929,0.00574277807337181,0.91275,0.00306287752775068
"Set1_Gaussian",25,4.520839,4,"W1",6.75843842815312,0.935,0.00551248582764618,0.918,0.00298127489507425
"Set1_Gaussian",25,4.520839,4,"W1",6.8418759396118,0.9405,0.00528960064655168,0.92125,0.00289814056767438
"Set1_Gaussian",25,4.520839,4,"W1",6.92531345107048,0.944,0.00514120608417908,0.924625,0.00283172733283061
"Set1_Gaussian",25,4.520839,4,"W1",7.00875096252916,0.949,0.00491929873051028,0.929375,0.00275393894040881
"Set1_Gaussian",25,4.520839,4,"W1",7.09218847398784,0.955,0.00463546114210873,0.931875,0.00271709719875826
"Set1_Gaussian",25,4.520839,4,"W1",7.10665,0.956,0.00458606585212206,0.93225,0.00270739150290459
"Set1_Gaussian",25,4.520839,4,"W1",7.17562598544652,0.9585,0.00445969449626317,0.93475,0.00264503662545532
"Set1_Gaussian",25,4.520839,4,"W1",7.25906349690521,0.962,0.00427527776875375,0.938875,0.00254779162952939
"Set1_Gaussian",25,4.520839,4,"W1",7.34250100836389,0.965,0.00410944035119139,0.9405,0.00249597175464788
"Set1_Gaussian",25,4.520839,4,"W1",7.42593851982257,0.9695,0.00384511053157123,0.94425,0.0024126683879058
"Set1_Gaussian",25,4.520839,4,"W1",7.50937603128125,0.973,0.00362429303451032,0.947125,0.00236357614379144
"Set1_Gaussian",25,4.520839,4,"W1",7.59281354273993,0.9755,0.00345685912353975,0.94975,0.00229536897905327
"Set1_Gaussian",25,4.520839,4,"W1",7.67625105419861,0.977,0.00335193973692846,0.952125,0.00224880350130908
"Set1_Gaussian",25,4.520839,4,"W1",7.75968856565729,0.983,0.00289058817544112,0.954125,0.00219962887494686
"Set1_Gaussian",25,4.520839,4,"W1",7.84312607711597,0.984,0.00280570846668003,0.955625,0.0021722234432719
