"set","n","method","ari","mc_se","k_hat_mean","k_hat_mode","p_k_correct"
"Set3_Mixture",25,"W1",0.250012879740967,0.0047316616415958,2.9175,2,0.225
"Set3_Mixture",25,"SMD",-9.90703785006879e-05,0.00239242774503392,3.1585,2,0.226
"Set3_Mixture",25,"KS",0.255747355671593,0.00468408461196282,2.545,2,0.236
"Set3_Mixture",25,"RV1",0.00103988430508487,0.00240023935508378,3.15,2,0.2235
"Set3_Mixture",25,"RV2",0.022209387173973,0.00237634977631615,3.2685,2,0.2375
"Set3_Mixture",25,"RV3",0.0645816371391749,0.00274950832919185,3.149,2,0.169
"Set3_Mixture",50,"W1",0.451351668359577,0.00333711428793448,2.7805,2,0.3055
"Set3_Mixture",50,"SMD",-0.00442362563261982,0.00236101281926145,3.153,2,0.211
"Set3_Mixture",50,"KS",0.457867027498472,0.00345551589099178,2.2815,2,0.177
"Set3_Mixture",50,"RV1",-0.00473653219150002,0.00236491083504432,3.162,2,0.221
"Set3_Mixture",50,"RV2",0.0227867340989399,0.0024063783097399,3.201,2,0.221
"Set3_Mixture",50,"RV3",0.0975182568549423,0.00315016660400422,3.2165,2,0.1695
"Set3_Mixture",100,"W1",0.516351818705547,0.00154379932465106,2.2085,2,0.1325
"Set3_Mixture",100,"SMD",-0.0021870244583729,0.00233087471126954,3.151,2,0.209
"Set3_Mixture",100,"KS",0.52069543069602,0.000980734695746513,2.055,2,0.045
"Set3_Mixture",100,"RV1",-0.00145657006399369,0.00233644246112941,3.1535,2,0.215
"Set3_Mixture",100,"RV2",0.0166536714662473,0.00223441995225757,3.2315,2,0.228
"Set3_Mixture",100,"RV3",0.143069956915932,0.00344001928805428,3.261,2,0.1675
"Set3_Mixture",200,"W1",0.521751488245066,0.000945444487994977,2.037,2,0.032
"Set3_Mixture",200,"SMD",0.00463420767946226,0.00242579745047877,3.14,2,0.2275
"Set3_Mixture",200,"KS",0.524581084179527,0.000799748370107383,2.0105,2,0.0105
"Set3_Mixture",200,"RV1",0.00391815271561435,0.00241926462127286,3.1355,2,0.227
"Set3_Mixture",200,"RV2",0.0233779863648055,0.00237978587633878,3.217,2,0.2265
"Set3_Mixture",200,"RV3",0.2043502906461,0.00401739104458793,3.417,2,0.1745
"Set3_Mixture",400,"W1",0.524164974307476,0.0008450886340034,2.011,2,0.009
"Set3_Mixture",400,"SMD",0.00501230420982426,0.00251689755767748,3.152,2,0.2235
"Set3_Mixture",400,"KS",0.522248160902475,0.000362996202140914,2.002,2,0.002
"Set3_Mixture",400,"RV1",0.00471885874415678,0.00250725857139381,3.154,2,0.2285
"Set3_Mixture",400,"RV2",0.0258809323520816,0.00246758214855854,3.1645,2,0.2545
"Set3_Mixture",400,"RV3",0.268064339243083,0.00397215173480133,3.558,2,0.2105
"Set4_Extremes",25,"W1",0.0865174827506314,0.00308603651510205,2.3355,2,0.142
"Set4_Extremes",25,"SMD",0.0152543672059565,0.00258535372363253,3.298,2,0.2485
"Set4_Extremes",25,"KS",-0.000461394933439933,0.00175821321299926,2.2285,2,0.0845
"Set4_Extremes",25,"RV1",0.0200014795595834,0.00243974299727089,3.046,2,0.212
"Set4_Extremes",25,"RV2",0.132060698591362,0.00336497325660641,3.052,2,0.2565
"Set4_Extremes",25,"RV3",0.141389448250176,0.00360065905317567,3.1965,2,0.216
"Set4_Extremes",50,"W1",0.175336600040683,0.00446963792754342,2.4675,2,0.148
"Set4_Extremes",50,"SMD",0.0161756318928395,0.00256980807763476,3.276,2,0.243
"Set4_Extremes",50,"KS",0.00533178512244874,0.00199153793472944,2.199,2,0.0775
"Set4_Extremes",50,"RV1",0.018200517445291,0.00244286049437717,3.1265,2,0.2035
"Set4_Extremes",50,"RV2",0.203392529286082,0.00386423366444041,3.1595,2,0.286
"Set4_Extremes",50,"RV3",0.152410104960942,0.00386229394543011,2.988,2,0.198
"Set4_Extremes",100,"W1",0.33274635875896,0.00598314068411034,2.6755,2,0.16
"Set4_Extremes",100,"SMD",0.0147897539866025,0.00250529980775562,3.291,2,0.2175
