"set","n","method","measure","value","mc_se"
"Set2_LogNormal",75,"W1","exact_recovery",0.2016,0.00567375431262229
"Set2_LogNormal",75,"SMD","ari",0.294545003776339,0.00233019659484822
"Set2_LogNormal",75,"SMD","exact_recovery",0.0014,0.000528779727296726
"Set2_LogNormal",75,"KS","ari",0.777671579180451,0.00299126206768625
"Set2_LogNormal",75,"KS","exact_recovery",0.4132,0.0069637024634888
"Set2_LogNormal",75,"RV1","ari",0.301662934107066,0.00244289018203983
"Set2_LogNormal",75,"RV1","exact_recovery",0.0014,0.000528779727296726
"Set2_LogNormal",75,"RV2","ari",0.529905322131741,0.00371306537539884
"Set2_LogNormal",75,"RV2","exact_recovery",0.1504,0.00505529108954173
"Set2_LogNormal",75,"RV3","ari",0.383716286204389,0.0033715384525593
"Set2_LogNormal",75,"RV3","exact_recovery",0.0488,0.00304691844328003
"Set2_LogNormal",100,"W1","ari",0.641882096830106,0.00383224833318194
"Set2_LogNormal",100,"W1","exact_recovery",0.3262,0.00663013665017547
"Set2_LogNormal",100,"SMD","ari",0.334268798437239,0.002147058964462
"Set2_LogNormal",100,"SMD","exact_recovery",0.0016,0.000565232695444982
"Set2_LogNormal",100,"KS","ari",0.849508268340673,0.0027311720980413
"Set2_LogNormal",100,"KS","exact_recovery",0.5818,0.0069757975888066
"Set2_LogNormal",100,"RV1","ari",0.343461714490368,0.00228141818049455
"Set2_LogNormal",100,"RV1","exact_recovery",0.0018,0.000599459756781054
"Set2_LogNormal",100,"RV2","ari",0.614164176116931,0.00377856850458364
"Set2_LogNormal",100,"RV2","exact_recovery",0.2508,0.00613024240956261
"Set2_LogNormal",100,"RV3","ari",0.447508971960822,0.00354548816253554
"Set2_LogNormal",100,"RV3","exact_recovery",0.0898,0.00404316608612607
"Set3_Mixture",25,"W1","ari",0.267890385341642,0.00293041064722608
"Set3_Mixture",25,"W1","exact_recovery",0.0016,0.000565232695444982
"Set3_Mixture",25,"SMD","ari",-0.00133913441598748,0.00148623932638991
"Set3_Mixture",25,"SMD","exact_recovery",0,0
"Set3_Mixture",25,"KS","ari",0.287871478878149,0.00269486052361072
"Set3_Mixture",25,"KS","exact_recovery",0.0016,0.000565232695444982
"Set3_Mixture",25,"RV1","ari",-0.000895270451050556,0.00148731382787101
"Set3_Mixture",25,"RV1","exact_recovery",0,0
"Set3_Mixture",25,"RV2","ari",0.017139351857957,0.00141238024186706
"Set3_Mixture",25,"RV2","exact_recovery",0,0
"Set3_Mixture",25,"RV3","ari",0.0547271431517336,0.00163529544180459
"Set3_Mixture",25,"RV3","exact_recovery",0,0
"Set3_Mixture",50,"W1","ari",0.456822069683365,0.00213141112012035
"Set3_Mixture",50,"W1","exact_recovery",0.0158,0.00176353962246387
"Set3_Mixture",50,"SMD","ari",0.00107665186815534,0.00150800939344292
"Set3_Mixture",50,"SMD","exact_recovery",0,0
"Set3_Mixture",50,"KS","ari",0.443550195129874,0.00188127239940564
"Set3_Mixture",50,"KS","exact_recovery",0.0084,0.00129069283720024
"Set3_Mixture",50,"RV1","ari",0.00066918986686506,0.00149436397083983
"Set3_Mixture",50,"RV1","exact_recovery",0,0
"Set3_Mixture",50,"RV2","ari",0.0168244530379626,0.00145802231312399
"Set3_Mixture",50,"RV2","exact_recovery",0,0
"Set3_Mixture",50,"RV3","ari",0.0859721111087853,0.00192880753675685
"Set3_Mixture",50,"RV3","exact_recovery",0,0
"Set3_Mixture",75,"W1","ari",0.505442641754893,0.00183426424840882
"Set3_Mixture",75,"W1","exact_recovery",0.0294,0.00238895960618843
"Set3_Mixture",75,"SMD","ari",-0.00180323033389354,0.00150380399061985
"Set3_Mixture",75,"SMD","exact_recovery",0,0
"Set3_Mixture",75,"KS","ari",0.485219825488028,0.00163930769696074
"Set3_Mixture",75,"KS","exact_recovery",0.015,0.00171901134376711
"Set3_Mixture",75,"RV1","ari",-0.00188825285127486,0.00150432193638567
"Set3_Mixture",75,"RV1","exact_recovery",0,0
"Set3_Mixture",75,"RV2","ari",0.0152611208169064,0.00138439934528189
"Set3_Mixture",75,"RV2","exact_recovery",0,0
"Set3_Mixture",75,"RV3","ari",0.112091280625115,0.00210629265815177
"Set3_Mixture",75,"RV3","exact_recovery",0,0
"Set3_Mixture",100,"W1","ari",0.526101198052852,0.001979804096954
"Set3_Mixture",100,"W1","exact_recovery",0.0432,0.00287519599331941
"Set3_Mixture",100,"SMD","ari",-6.48846787362671e-05,0.00149219956856242
"Set3_Mixture",100,"SMD","exact_recovery",0,0
"Set3_Mixture",100,"KS","ari",0.502937838443633,0.00172942566994213
"Set3_Mixture",100,"KS","exact_recovery",0.0206,0.0020087628033195
"Set3_Mixture",100,"RV1","ari",-6.89868694207042e-05,0.00148952811404887
"Set3_Mixture",100,"RV1","exact_recovery",0,0
"Set3_Mixture",100,"RV2","ari",0.017805717496157,0.00141942180452753
"Set3_Mixture",100,"RV2","exact_recovery",0,0
"Set3_Mixture",100,"RV3","ari",0.130559807322788,0.0022611423618391
"Set3_Mixture",100,"RV3","exact_recovery",4e-04,0.000282786138274138
"Set4_Extremes",25,"W1","ari",0.111594367770927,0.00195576018513292
"Set4_Extremes",25,"W1","exact_recovery",2e-04,0.0001999799989999
"Set4_Extremes",25,"SMD","ari",0.0168264800952639,0.00161638922710389
"Set4_Extremes",25,"SMD","exact_recovery",0,0
"Set4_Extremes",25,"KS","ari",0.000428624063527916,0.00139538594163249
"Set4_Extremes",25,"KS","exact_recovery",0,0
"Set4_Extremes",25,"RV1","ari",0.0207087417841428,0.00152798667252325
"Set4_Extremes",25,"RV1","exact_recovery",0,0
"Set4_Extremes",25,"RV2","ari",0.144495661140235,0.00209717827262468
"Set4_Extremes",25,"RV2","exact_recovery",8e-04,0.000399839967987194
"Set4_Extremes",25,"RV3","ari",0.12252565070593,0.00212617696093927
"Set4_Extremes",25,"RV3","exact_recovery",6e-04,0.000346306222872186
"Set4_Extremes",50,"W1","ari",0.204240327820333,0.00260637751878186
"Set4_Extremes",50,"W1","exact_recovery",0.0042,0.000914588432028309
"Set4_Extremes",50,"SMD","ari",0.0180764589543729,0.00162816856967045
"Set4_Extremes",50,"SMD","exact_recovery",0,0
"Set4_Extremes",50,"KS","ari",0.00330184939739555,0.00143951413258048
"Set4_Extremes",50,"KS","exact_recovery",0,0
"Set4_Extremes",50,"RV1","ari",0.024377045282232,0.00161630435612773
"Set4_Extremes",50,"RV1","exact_recovery",0,0
"Set4_Extremes",50,"RV2","ari",0.20762122222331,0.00233988189979977
"Set4_Extremes",50,"RV2","exact_recovery",8e-04,0.000399839967987194
"Set4_Extremes",50,"RV3","ari",0.149235741442653,0.00232671200343232
"Set4_Extremes",50,"RV3","exact_recovery",4e-04,0.000282786138274138
"Set4_Extremes",75,"W1","ari",0.287363459548823,0.00296240407330401
"Set4_Extremes",75,"W1","exact_recovery",0.0142,0.00167322204145176
"Set4_Extremes",75,"SMD","ari",0.0192430568832044,0.00162740135719028
"Set4_Extremes",75,"SMD","exact_recovery",0,0
"Set4_Extremes",75,"KS","ari",0.00206473984995487,0.00143795326863093
"Set4_Extremes",75,"KS","exact_recovery",0,0
"Set4_Extremes",75,"RV1","ari",0.025355233360106,0.00160584612531298
"Set4_Extremes",75,"RV1","exact_recovery",0,0
"Set4_Extremes",75,"RV2","ari",0.250081246607445,0.00242142263877624
"Set4_Extremes",75,"RV2","exact_recovery",0.0012,0.000489603921552922
"Set4_Extremes",75,"RV3","ari",0.171522090562791,0.00245933534479685
"Set4_Extremes",75,"RV3","exact_recovery",8e-04,0.000399839967987194
"Set4_Extremes",100,"W1","ari",0.355262312504776,0.00321827918194237
"Set4_Extremes",100,"W1","exact_recovery",0.0412,0.00281078494374792
"Set4_Extremes",100,"SMD","ari",0.0178689186448208,0.00161584715188255
"Set4_Extremes",100,"SMD","exact_recovery",0,0
"Set4_Extremes",100,"KS","ari",0.00324162779565151,0.00142528880692009
"Set4_Extremes",100,"KS","exact_recovery",0,0
"Set4_Extremes",100,"RV1","ari",0.0260549618172433,0.00161249705523592
"Set4_Extremes",100,"RV1","exact_recovery",0,0
"Set4_Extremes",100,"RV2","ari",0.271483835091584,0.00245824313865614
"Set4_Extremes",100,"RV2","exact_recovery",0.0016,0.000565232695444982
"Set4_Extremes",100,"RV3","ari",0.188851105053793,0.00252501046586381
"Set4_Extremes",100,"RV3","exact_recovery",0.001,0.00044698993277254
