"set","n","rule","recall","any_wrong","pool_size","mc_se_wrong"
"Set1_Gaussian",25,"ANCHOR_tau_min",0.526515555555545,0.14519,2.78124166666667,0.00032159739828446
"Set1_Gaussian",25,"CLUST_tau_min",0.408352222221857,0.0655058333333333,2.310675,0.000225859135917056
"Set1_Gaussian",25,"CLUST_sil",0.843307777777046,0.3838675,4.90410666666667,0.000443953115433516
"Set1_Gaussian",50,"ANCHOR_tau_min",0.741912777777441,0.0508541666666667,3.28893666666667,0.000200557598541553
"Set1_Gaussian",50,"CLUST_tau_min",0.656923333333701,0.0102025,2.98354833333333,9.17351668016416e-05
"Set1_Gaussian",50,"CLUST_sil",0.941611666666532,0.072915,4.010325,0.000237343637606952
"Set1_Gaussian",100,"ANCHOR_tau_min",0.898849999999084,0.0057725,3.70287333333333,6.91566955287652e-05
"Set1_Gaussian",100,"CLUST_tau_min",0.841463888888736,0.000251666666666667,3.52468166666667,1.44799669243279e-05
"Set1_Gaussian",100,"CLUST_sil",0.98992000000002,0.0025675,3.97416166666667,4.61962114585709e-05
"Set1_Gaussian",200,"ANCHOR_tau_min",0.976513888888676,7.75e-05,3.92962,8.03606421857118e-06
"Set1_Gaussian",200,"CLUST_tau_min",0.94912666666654,0,3.84738,0
"Set1_Gaussian",200,"CLUST_sil",0.998810000000005,8.33333333333333e-06,3.99644333333333,2.63522040332001e-06
"Set1_Gaussian",400,"ANCHOR_tau_min",0.997942777777763,0,3.99382833333333,0
"Set1_Gaussian",400,"CLUST_tau_min",0.994259444444435,0,3.98277833333333,0
"Set1_Gaussian",400,"CLUST_sil",0.999931111111112,0,3.99979333333333,0
"Set2_LogNormal",25,"ANCHOR_tau_min",0.0690772222221926,0.0975025,1.32190166666667,0.00027079476006401
"Set2_LogNormal",25,"CLUST_tau_min",0.0549622222223402,0.0776391666666667,1.24887,0.00024428693249601
"Set2_LogNormal",25,"CLUST_sil",0.827017222221311,0.736245833333333,7.23859166666667,0.000402272613029853
"Set2_LogNormal",50,"ANCHOR_tau_min",0.206640000000425,0.131993333333333,1.79665,0.000308991765382306
"Set2_LogNormal",50,"CLUST_tau_min",0.151053333333562,0.088895,1.559815,0.000259795879770703
"Set2_LogNormal",50,"CLUST_sil",0.917789999999598,0.619479166666667,6.42451666666667,0.000443212447866557
"Set2_LogNormal",100,"ANCHOR_tau_min",0.448231111111359,0.104065833333333,2.48784166666667,0.00027874142089335
"Set2_LogNormal",100,"CLUST_tau_min",0.340381111110729,0.051565,2.08824833333333,0.000201878781233937
"Set2_LogNormal",100,"CLUST_sil",0.975797222222169,0.512698333333333,5.95712833333333,0.000456288242534763
