"partner","n","W1_age","ci_lower_age","ci_upper_age","se_age","W1_sysbp","ci_lower_sysbp","ci_upper_sysbp","se_sysbp"
5,1909,0.389876808540298,0.354856253471571,0.92239081272756,0.143852572255566,3.37205702394477,2.31929970732815,4.58813616875805,0.591517476489634
7,3150,0.404735169508132,0.302889966882226,0.945035480011758,0.169693529036724,5.07155986674505,4.0313878600823,6.21796864589457,0.568970691406351
4,2876,0.555527241195762,0.374411308966786,1.15868924502433,0.204295901286282,2.60054354565765,1.81721964424374,3.75289843718699,0.502762568099307
9,3123,0.586033339856026,0.404339506592861,1.12462465728684,0.184553024475258,6.80376477982946,5.71191488478552,8.00731690504145,0.584123013059202
15,2576,0.610320787431093,0.400839295086437,1.24765732363049,0.222185751658554,4.72425267745316,3.60148254383611,5.9375870784662,0.600460586718643
1,2188,0.646356228511672,0.509619957781941,1.03463429607624,0.13705815050669,3.61076629476657,2.68146913078696,4.92889455955041,0.568601913837876
14,3437,0.702349533519877,0.420172948997095,1.29396248120689,0.234448854570455,4.36305218407127,3.41404045850989,5.44224872414414,0.508677019478779
12,4352,0.859065022845558,0.474979692030972,1.42635990389452,0.254878973981322,6.40365749566288,5.38525926461763,7.46124267479625,0.548047704485626
6,1585,0.912122986633087,0.632292954032575,1.39240401841466,0.19503447029014,3.36945147624549,2.05541744016478,4.77360754111981,0.70083451666395
13,2297,1.14505450554878,0.759843774051769,1.73528188628201,0.25550269530836,2.39993195036408,1.41721113093777,3.72204244980481,0.590122447297791
11,2491,1.2695770908329,0.758755480484201,1.90741686253985,0.303497903352508,6.44427194415671,5.24827679027214,7.70776118443406,0.630843160214651
10,1717,1.3816825761189,0.794547323644855,2.133294255755,0.339080950585525,3.99841754327938,2.87906791042212,5.38936154871841,0.643667614252623
16,1231,1.74278987579661,1.16186491162933,2.4704114336892,0.332487058258395,4.28226212643428,3.06142916918784,5.70664865906915,0.66831512148224
2,2952,2.14817788734986,1.56516304524658,2.75796138033641,0.311966188333121,0.952507611495868,0.761455614941951,1.82193480461039,0.288132481676943
3,2030,2.60694338049964,1.96306119055221,3.28227865480583,0.339596553830409,3.35280970625798,2.3205959645104,4.65110046828438,0.605346045552024
