"em","region","n","W1","KS","SMD","RV1","RV2","RV3","rho_heur"
"age","R1",2188,0.646356228511672,0.0293012390818607,0.018894488816414,0.239642278113187,0.273992554251635,1.30614327431729,1.82664530797155
"age","R2",2952,2.14817788734986,0.0776539864164074,0.178291673960548,2.22137849257299,2.55231552546037,2.90334910066347,2.29073451717215
"age","R3",2030,2.60694338049964,0.0939687269827755,0.21726837910624,2.74065782863316,2.79910965382727,2.83715224338601,2.29729373958474
"age","R4",2876,0.555527241195762,0.0277629919622399,0.0416975589214541,0.532860647796778,0.652021830022918,0.755030043330373,1.65694222810576
"age","R5",1909,0.389876808540298,0.0227208709592351,0.011426730349812,0.145175049094114,0.145243856468524,0.870808292126059,1.42092351243946
"age","R6",1585,0.912122986633087,0.0437239552907271,0.023934352457586,0.297496794755596,2.05553212134258,2.05742716561042,1.72743706000837
"age","R7",3150,0.404735169508132,0.0239466980207721,0.0209476040040447,0.266824625752272,0.309692283530696,0.538203871841417,1.399566633375
"age","R9",3123,0.586033339856026,0.0291979459446639,0.0415748648725395,0.523032944896809,0.809227604794746,0.81162085128934,1.66202785208971
"age","R10",1717,1.3816825761189,0.0640063098539338,0.114203211159542,1.4459941565558,1.47729608771624,1.66478504237305,1.78753175157509
"age","R11",2491,1.2695770908329,0.0476579885117286,0.103362166531494,1.32214261667175,1.40371047204063,1.77590542460511,2.20592957015319
"age","R12",4352,0.859065022845558,0.0331950874485597,0.0708595024329516,0.89899086124253,0.902458114393724,1.14440110537489,2.14299172170814
"age","R13",2297,1.14505450554878,0.0652876388538041,0.0867468350265744,1.07548733381158,2.09943826423979,2.73747990059542,1.4523238553205
"age","R14",3437,0.702349533519877,0.0320826812868753,0.0575612231153823,0.72291169741635,1.00069749293097,1.1569265160855,1.81280426741807
"age","R15",2576,0.610320787431093,0.0354331211819136,0.0479696604831024,0.611139850113106,0.639129033676313,0.823539155597544,1.42632017815693
"age","R16",1231,1.74278987579661,0.0793624129289202,0.127849803403736,1.57913021645159,3.51813071671353,4.07326963088123,1.81843774881872
"sysbp","R1",2188,3.61076629476657,0.107030366408117,0.146816995102945,1.22159277349799,1.73766162441339,1.74818413040775,1.47482294017299
"sysbp","R2",2952,0.952507611495868,0.0218976881126836,0.0180590574637257,0.149971142789733,0.961268690012752,0.981823593295361,1.90159359346263
"sysbp","R3",2030,3.35280970625798,0.0675289045659416,0.134765750443487,1.14589271236477,2.97514034087608,2.99497672284589,2.1705346184918
"sysbp","R4",2876,2.60054354565765,0.0889090166764921,0.0983388879371344,0.814493595588688,1.15095453730407,1.45861619888437,1.27869168163648
"sysbp","R5",1909,3.37205702394477,0.0673290765495332,0.0856420507720039,0.721709337881645,2.33653072046328,4.3757713334642,2.18947388199063
"sysbp","R6",1585,3.36945147624549,0.0586807043051931,0.140842420716511,1.16844543577153,1.72465596589645,1.81533676973949,2.51021780264339
"sysbp","R7",3150,5.07155986674505,0.137838526357045,0.212951318277376,1.76147009356106,1.89839672182341,1.96000111995209,1.60849032009268
"sysbp","R9",3123,6.80376477982946,0.160267509477671,0.289173040473167,2.38521581268638,2.44979314769894,2.4692952674828,1.85588610069549
"sysbp","R10",1717,3.99841754327938,0.110950728333545,0.169586090263083,1.4030668250599,1.72480940936484,1.79856121000848,1.57545318812411
"sysbp","R11",2491,6.44427194415671,0.158254627495747,0.274953147131423,2.28382577840729,2.51280555244152,2.51888443223072,1.78018426370898
"sysbp","R12",4352,6.40365749566288,0.146136553901396,0.271707126837666,2.25690750131591,2.39805405342643,2.4121335240143,1.91565258519525
"sysbp","R13",2297,2.39993195036408,0.054859233699589,0.093815536014965,0.775333533076411,1.09780632911607,1.22361372633643,1.91247914179763
"sysbp","R14",3437,4.36305218407127,0.122168761397094,0.158366948980539,1.36354927801674,3.07611005954854,3.22413134677025,1.56126905953049
"sysbp","R15",2576,4.72425267745316,0.131975862450903,0.195506808999597,1.62358128145501,1.91586508137718,2.01035089458773,1.56489832508316
"sysbp","R16",1231,4.28226212643428,0.098206316253974,0.18307786879348,1.47232294819454,2.04496435672215,2.10879836784242,1.90625652664053
