"set","n","tau_clin","method","kind","tau","violation","sensitivity","feasible"
"Set1_Gaussian",50,5.617227,"SMD","oracle_best",0.00751132169446622,0.0275,0.0205833333333333,TRUE
"Set1_Gaussian",50,5.617227,"KS","oracle_best",0.141582914572864,0.0265,0.2685,TRUE
"Set1_Gaussian",50,5.617227,"RV1","oracle_best",0.041804789917422,0.0355,0.039,TRUE
"Set1_Gaussian",50,5.617227,"RV2","oracle_best",1.05278051888143,0.047,0.525249999999999,TRUE
"Set1_Gaussian",50,5.617227,"RV3","oracle_best",1.33807073816157,0.0485,0.334,TRUE
"Set1_Gaussian",50,7.10665,"W1","oracle_best",4.520839,0.048,0.586142857142856,TRUE
"Set1_Gaussian",50,7.10665,"W1_derived","derived_tau_clin",7.10665,0.475,0.879500000000012,FALSE
"Set1_Gaussian",50,7.10665,"SMD","oracle_best",0.00751132169446622,0.029,0.0185,TRUE
"Set1_Gaussian",50,7.10665,"KS","oracle_best",0.161809045226131,0.037,0.33114285714286,TRUE
"Set1_Gaussian",50,7.10665,"RV1","oracle_best",0.041804789917422,0.037,0.0332142857142859,TRUE
"Set1_Gaussian",50,7.10665,"RV2","oracle_best",1.42710248115038,0.047,0.598928571428571,TRUE
"Set1_Gaussian",50,7.10665,"RV3","oracle_best",1.68713266985589,0.0455,0.430714285714287,TRUE
"Set1_Gaussian",50,7.989423,"W1","oracle_best",4.67250064168611,0.048,0.5290625,TRUE
"Set1_Gaussian",50,7.989423,"W1_derived","derived_tau_clin",7.989423,0.483,0.867625,FALSE
"Set1_Gaussian",50,7.989423,"SMD","oracle_best",0.450679301667973,0.0475,0.79275,TRUE
"Set1_Gaussian",50,7.989423,"KS","oracle_best",0.242713567839196,0.0465,0.65075,TRUE
"Set1_Gaussian",50,7.989423,"RV1","oracle_best",1.35865567231622,0.0475,0.765375,TRUE
"Set1_Gaussian",50,7.989423,"RV2","oracle_best",1.40370735850857,0.046,0.5124375,TRUE
"Set1_Gaussian",50,7.989423,"RV3","oracle_best",1.71622116416375,0.0445,0.387625,TRUE
"Set1_Gaussian",75,4.520839,"W1","oracle_best",2.41968783230173,0.047,0.575875,TRUE
"Set1_Gaussian",75,4.520839,"W1_derived","derived_tau_clin",4.520839,0.5725,0.854125,FALSE
"Set1_Gaussian",75,4.520839,"SMD","oracle_best",0,0,0,TRUE
"Set1_Gaussian",75,4.520839,"KS","oracle_best",0.10787269681742,0.0265,0.260375,TRUE
"Set1_Gaussian",75,4.520839,"RV1","oracle_best",0.020902394958711,0.046,0.026875,TRUE
"Set1_Gaussian",75,4.520839,"RV2","oracle_best",0.725248801896095,0.048,0.606625,TRUE
"Set1_Gaussian",75,4.520839,"RV3","oracle_best",1.01809730077511,0.049,0.310125,TRUE
"Set1_Gaussian",75,4.8936535,"W1","oracle_best",2.5865628552191,0.05,0.494800000000005,TRUE
"Set1_Gaussian",75,4.8936535,"W1_derived","derived_tau_clin",4.8936535,0.5045,0.78509999999998,FALSE
"Set1_Gaussian",75,4.8936535,"SMD","oracle_best",0.00751132169446622,0.0405,0.0324000000000002,TRUE
"Set1_Gaussian",75,4.8936535,"KS","oracle_best",0.134840871021776,0.0405,0.398500000000001,TRUE
"Set1_Gaussian",75,4.8936535,"RV1","oracle_best",0.041804789917422,0.047,0.0550000000000005,TRUE
"Set1_Gaussian",75,4.8936535,"RV2","oracle_best",0.725248801896095,0.0455,0.480700000000005,TRUE
"Set1_Gaussian",75,4.8936535,"RV3","oracle_best",1.01809730077511,0.049,0.245899999999995,TRUE
"Set1_Gaussian",75,5.617227,"W1","oracle_best",3.8381255270993,0.05,0.592083333333333,TRUE
"Set1_Gaussian",75,5.617227,"W1_derived","derived_tau_clin",5.617227,0.343,0.826499999999997,FALSE
"Set1_Gaussian",75,5.617227,"SMD","oracle_best",0.00751132169446622,0.034,0.0274166666666666,TRUE
"Set1_Gaussian",75,5.617227,"KS","oracle_best",0.148324958123953,0.038,0.411583333333335,TRUE
"Set1_Gaussian",75,5.617227,"RV1","oracle_best",0.041804789917422,0.0405,0.0464166666666668,TRUE
"Set1_Gaussian",75,5.617227,"RV2","oracle_best",1.28673174529952,0.0495,0.6135,TRUE
"Set1_Gaussian",75,5.617227,"RV3","oracle_best",1.54169019831659,0.045,0.420416666666667,TRUE
"Set1_Gaussian",75,7.10665,"W1","oracle_best",5.08968819897951,0.047,0.682857142857149,TRUE
"Set1_Gaussian",75,7.10665,"W1_derived","derived_tau_clin",7.10665,0.4355,0.913714285714295,FALSE
